"dependent.var","independent.var.value","numbers","repeat.var","Area","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1","Male headed households",0.386478406762572,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Male headed households",0.402531208471736,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1","Female headed households",0.167501761171074,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",17,"10% - 19%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.357547078218006,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.200302590315056,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",20,"20% - 29%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.393147024892927,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.354297362108013,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Male headed households",0.391774521806346,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.377915695474856,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.342478188595514,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.323620762373616,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.323074754784442,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.407446096011827,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.34375,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.259365056760818,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",26,"20% - 29%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.296732129767546,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.368245573,"hno_strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.380204034,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.304343039,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.374441463,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.382338782567703,"hno_strata","Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.3754680766296,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.330645161290323,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.320387168340506,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",32,"30% - 39%","HHs with school-aged children"
"e_1","All households",0.369014012,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.304157601202874,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.305544542768061,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.37259661829188,"hno_strata","Khan Younis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.345864661654135,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.369339018953507,"hno_strata","North Gaza","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_2","Male headed households",0.047454352198997,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","Female headed households",0.0616501840573411,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",6,"0% - 9%","Total Population"
"e_2","Male headed households",0.0443417184867444,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_2","Female headed households",0.0207950313610483,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","All households",0.096763482,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",10,"10% - 19%","Total Population"
"e_2","Households with disability",0.00257387315572753,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","All households",0.018089316,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","Out-of Camp Refugee households",0.020284267204039,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","Households without disability",0.0205003495538905,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","Households with disability",0.0325473312292498,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",3,"0% - 9%","Total Population"
"e_2","Non Refugee households",0.01807616614052,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","Households without disability",0.0501423923558591,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","All households",0.046068322,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","All households",0.046399198,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","All households",0.043274665,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_2","Female headed households",0.00405730293074088,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Households with disability",0.018763055336987,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","Households without disability",0.0449303036318619,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_2","In Camp Refugee households",0,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Out-of Camp Refugee households",0.0395357650392308,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_2","In Camp Refugee households",0,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","In Camp Refugee households",0,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Non Refugee households",0.0704766248107338,"hno_strata","Khan Younis","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",7,"0% - 9%","Total Population"
"e_2","Male headed households",0.0193982252040308,"hno_strata","Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",2,"0% - 9%","Total Population"
"e_2","In Camp Refugee households",0,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Out-of Camp Refugee households",0.0598570497840159,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",6,"0% - 9%","Total Population"
"e_2","Non Refugee households",0.0729430099056073,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",7,"0% - 9%","Total Population"
"e_2","In Camp Refugee households",0,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Female headed households",0.150714568940254,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",15,"10% - 19%","Total Population"
"e_2","Out-of Camp Refugee households",0.0627391273642663,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",6,"0% - 9%","Total Population"
"e_2","Non Refugee households",0.0329625164357371,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",3,"0% - 9%","Total Population"
"e_2","Female headed households",0.00113677075448258,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2","Households without disability",0.0481800040479304,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","Male headed households",0.0904515472302162,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",9,"0% - 9%","Total Population"
"e_2","Male headed households",0.0507847483484077,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",5,"0% - 9%","Total Population"
"e_2","Households without disability",0.084556284219649,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",8,"0% - 9%","Total Population"
"e_2","Out-of Camp Refugee households",0.0975175953613632,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",10,"10% - 19%","Total Population"
"e_2","Households with disability",0.153785417688303,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",15,"10% - 19%","Total Population"
"e_2","Non Refugee households",0.227631468668304,"hno_strata","Rafah","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",23,"20% - 29%","Total Population"
"e_2","Households with disability",0.0373197411455841,"hno_strata","North Gaza","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_3","Out-of Camp Refugee households",0.172661101083897,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
"e_3","All households",0.175229886,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3","All households",0.162888884,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",16,"10% - 19%","Total Population"
"e_3","Non Refugee households",0.139346492822021,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",14,"10% - 19%","Total Population"
"e_3","Non Refugee households",0.135527983086807,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",14,"10% - 19%","Total Population"
"e_3","Female headed households",0.163744809936259,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",16,"10% - 19%","Total Population"
"e_3","All households",0.151966481,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",15,"10% - 19%","Total Population"
"e_3","In Camp Refugee households",0.14164341877642,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",14,"10% - 19%","Total Population"
"e_3","All households",0.21190944,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",21,"20% - 29%","Total Population"
"e_3","Non Refugee households",0.188635685235386,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",19,"10% - 19%","Total Population"
"e_3","Male headed households",0.174681726551707,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
"e_3","Female headed households",0.0994633756720354,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",10,"10% - 19%","Total Population"
"e_3","Out-of Camp Refugee households",0.181994915553324,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3","Male headed households",0.176779314421212,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3","Households with disability",0.0952776970331037,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",10,"10% - 19%","Total Population"
"e_3","In Camp Refugee households",0.00806451612903226,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",1,"0% - 9%","Total Population"
"e_3","Households with disability",0.0580710981010344,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",6,"0% - 9%","Total Population"
"e_3","Male headed households",0.157912852414185,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",16,"10% - 19%","Total Population"
"e_3","All households",0.177282604,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3","Households without disability",0.166557421167106,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
"e_3","Out-of Camp Refugee households",0.217235903825683,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",22,"20% - 29%","Total Population"
"e_3","Non Refugee households",0.309835020412366,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",31,"30% - 39%","Total Population"
"e_3","In Camp Refugee households",0.1171875,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",12,"10% - 19%","Total Population"
"e_3","Out-of Camp Refugee households",0.200961607186528,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",20,"20% - 29%","Total Population"
"e_3","Non Refugee households",0.144775134496715,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",14,"10% - 19%","Total Population"
"e_3","In Camp Refugee households",0.0225563909774436,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",2,"0% - 9%","Total Population"
"e_3","Households without disability",0.173323880790576,"hno_strata","Deir Al-Balah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
"e_3","Households without disability",0.219952763983755,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",22,"20% - 29%","Total Population"
"e_3","In Camp Refugee households",0.0737704918032787,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",7,"0% - 9%","Total Population"
"e_3","Female headed households",0.299464752764515,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",30,"30% - 39%","Total Population"
"e_3","Households with disability",0.174337675906884,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
"e_3","Male headed households",0.177740428609797,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3","Out-of Camp Refugee households",0.227848473550798,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",23,"20% - 29%","Total Population"
"e_3","Households without disability",0.187572830021733,"hno_strata","Khan Younis","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",19,"10% - 19%","Total Population"
"e_3","Male headed households",0.201666024345139,"hno_strata","Rafah","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",20,"20% - 29%","Total Population"
"e_3","Female headed households",0.0882190684245597,"hno_strata","Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",9,"0% - 9%","Total Population"
"e_3","Households without disability",0.166373743409509,"hno_strata","North Gaza","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",17,"10% - 19%","Total Population"
