"dependent.var","numbers","repeat.var","Region","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"food_hlth_vul",0.770031482475522,"REGION","Gaza","Vulnerability","Food and Health","Food and Health",77,"70% - 79%","Total Population"
"food_hlth_vul",0.565100106631676,"REGION","West Bank","Vulnerability","Food and Health","Food and Health",57,"50% - 59%","Total Population"
"food_pov_vul",0.742932579426622,"REGION","Gaza","Vulnerability","Food and Monetary","Food and Monetary",74,"70% - 79%","Total Population"
"food_pov_vul",0.397771154296948,"REGION","West Bank","Vulnerability","Food and Monetary","Food and Monetary",40,"40% - 49%","Total Population"
"food_prt_vul",0.670818266486836,"REGION","Gaza","Vulnerability","Food and Protection","Food and Protection",67,"60% - 69%","Total Population"
"food_prt_vul",0.382114742867446,"REGION","West Bank","Vulnerability","Food and Protection","Food and Protection",38,"30% - 39%","Total Population"
"food_shltr_vul",0.712370115060852,"REGION","Gaza","Vulnerability","Food and Shelther","Food and Shelther",71,"70% - 79%","Total Population"
"food_shltr_vul",0.330378699812962,"REGION","West Bank","Vulnerability","Food and Shelther","Food and Shelther",33,"30% - 39%","Total Population"
"food_vul",0.148983071536626,"REGION","West Bank","Food Security Vulnerability","% of HHs experiencing food security vulnerability","% of HHs experiencing food security vulnerability",15,"10% - 19%","Total Population"
"food_vul",0.511318257199051,"REGION","Gaza","Food Security Vulnerability","% of HHs experiencing food security vulnerability","% of HHs experiencing food security vulnerability",51,"50% - 59%","Total Population"
"food_wash_vul",0.631834416737053,"REGION","Gaza","Vulnerability","Food and Wash","Food and Wash",63,"60% - 69%","Total Population"
"food_wash_vul",0.361529264128709,"REGION","West Bank","Vulnerability","Food and Wash","Food and Wash",36,"30% - 39%","Total Population"
"four_dim_vul",0.190735134824221,"REGION","Gaza","Vulnerability","% of HH with four vulnerabilities dimensions","% of HH with four vulnerabilities dimensions",19,"10% - 19%","Total Population"
"four_dim_vul",0.124175329956976,"REGION","West Bank","Vulnerability","% of HH with four vulnerabilities dimensions","% of HH with four vulnerabilities dimensions",12,"10% - 19%","Total Population"
"h_1",0.492997193893249,"REGION","Gaza","Health Vulnerability","% of HHs with at least one member who has a chronic disease","% of HHs with at least one member who has a chronic disease",49,"40% - 49%","Total Population"
"h_1",0.475228996014689,"REGION","West Bank","Health Vulnerability","% of HHs with at least one member who has a chronic disease","% of HHs with at least one member who has a chronic disease",48,"40% - 49%","Total Population"
"h_2",0.21104699314893,"REGION","West Bank","Health Vulnerability","% of HHs with at least one member who faced difficulties in accessing health services in the 3 months prior to data collection","% of HHs with at least one member who faced difficulties in accessing health services in the 3 months prior to data collection",21,"20% - 29%","HHs that accessed Health services"
"h_2",0.271020203665127,"REGION","Gaza","Health Vulnerability","% of HHs with at least one member who faced difficulties in accessing health services in the 3 months prior to data collection","% of HHs with at least one member who faced difficulties in accessing health services in the 3 months prior to data collection",27,"20% - 29%","HHs that accessed Health services"
"hlth_pov_vul",0.807374850498043,"REGION","Gaza","Vulnerability","Health and Monetary","Health and Monetary",81,"80% - 89%","Total Population"
"hlth_pov_vul",0.688405373443226,"REGION","West Bank","Vulnerability","Health and Monetary","Health and Monetary",69,"60% - 69%","Total Population"
"hlth_shltr_vul",0.781654794151919,"REGION","Gaza","Vulnerability","Health and Shelther","Health and Shelther",78,"70% - 79%","Total Population"
"hlth_shltr_vul",0.619757768917997,"REGION","West Bank","Vulnerability","Health and Shelther","Health and Shelther",62,"60% - 69%","Total Population"
"hlth_vul",0.579739797268695,"REGION","Gaza","Health Vulnerability","% of HHs experiencing health vulnerability","% of HHs experiencing health vulnerability",58,"50% - 59%","Total Population"
"hlth_vul",0.514847138757377,"REGION","West Bank","Health Vulnerability","% of HHs experiencing health vulnerability","% of HHs experiencing health vulnerability",51,"50% - 59%","Total Population"
"hlth_wash_vul",0.683170392167915,"REGION","Gaza","Vulnerability","Health and Wash","Health and Wash",68,"60% - 69%","Total Population"
"hlth_wash_vul",0.643709734904616,"REGION","West Bank","Vulnerability","Health and Wash","Health and Wash",64,"60% - 69%","Total Population"
"l_1",0.417239628657806,"REGION","Gaza","Employment Vulnerability","% of HHs with at least one adult (18+) unemployed and seeking work","% of HHs with at least one adult (18+) unemployed and seeking work",42,"40% - 49%","Total Population"
"l_1",0.186388411297548,"REGION","West Bank","Employment Vulnerability","% of HHs with at least one adult (18+) unemployed and seeking work","% of HHs with at least one adult (18+) unemployed and seeking work",19,"10% - 19%","Total Population"
"l_2",0.354883750920921,"REGION","West Bank","Employment Vulnerability","% of HHs who earned income from precarious or unstable sources in the 30 days prior to data collection","% of HHs who earned income from precarious or unstable sources in the 30 days prior to data collection",35,"30% - 39%","Total Population"
"l_2",0.629699529835762,"REGION","Gaza","Employment Vulnerability","% of HHs who earned income from precarious or unstable sources in the 30 days prior to data collection","% of HHs who earned income from precarious or unstable sources in the 30 days prior to data collection",63,"60% - 69%","Total Population"
"liv_food_vul",0.817065868932822,"REGION","Gaza","Vulnerability","Livelihoods and Food","Livelihoods and Food",82,"80% - 89%","Total Population"
"liv_food_vul",0.488073898109541,"REGION","West Bank","Vulnerability","Livelihoods and Food","Livelihoods and Food",49,"40% - 49%","Total Population"
"liv_hlth_vul",0.861617733721394,"REGION","Gaza","Vulnerability","Livelihoods and Health","Livelihoods and Health",86,"80% - 89%","Total Population"
"liv_hlth_vul",0.683664765733188,"REGION","West Bank","Vulnerability","Livelihoods and Health","Livelihoods and Health",68,"60% - 69%","Total Population"
"liv_pov_vul",0.840610055641906,"REGION","Gaza","Vulnerability","Livelihoods and Monetary","Livelihoods and Monetary",84,"80% - 89%","Total Population"
"liv_pov_vul",0.608139663549938,"REGION","West Bank","Vulnerability","Livelihoods and Monetary","Livelihoods and Monetary",61,"60% - 69%","Total Population"
"liv_prot_vul",0.829982134581598,"REGION","Gaza","Vulnerability","Livelihods and Protection","Livelihods and Protection",83,"80% - 89%","Total Population"
"liv_prot_vul",0.600297978129532,"REGION","West Bank","Vulnerability","Livelihods and Protection","Livelihods and Protection",60,"60% - 69%","Total Population"
"liv_shltr_vul",0.84611131068559,"REGION","Gaza","Vulnerability","Livelihoods and Shelter","Livelihoods and Shelter",85,"80% - 89%","Total Population"
"liv_shltr_vul",0.55624790329995,"REGION","West Bank","Vulnerability","Livelihoods and Shelter","Livelihoods and Shelter",56,"50% - 59%","Total Population"
"liv_vul",0.742694898827792,"REGION","Gaza","Employment Vulnerability","% of HHs experiencing employment vulnerability","% of HHs experiencing employment vulnerability",74,"70% - 79%","Total Population"
"liv_vul",0.448335508934998,"REGION","West Bank","Employment Vulnerability","% of HHs experiencing employment vulnerability","% of HHs experiencing employment vulnerability",45,"40% - 49%","Total Population"
"liv_wash_vul",0.800044329048215,"REGION","Gaza","Vulnerability","Livelihoods and Wash","Livelihoods and Wash",80,"80% - 89%","Total Population"
"liv_wash_vul",0.594665968040878,"REGION","West Bank","Vulnerability","Livelihoods and Wash","Livelihoods and Wash",59,"50% - 59%","Total Population"
"m_1",0.0723253036846486,"REGION","West Bank","Monetary Resources Vulnerability","% of HHs experiencing poverty "," % of HHs whose  food expenditure share and water expenditure share is atleast 80%",7,"0% - 9%","Total Population"
"m_1",0.0831962122190251,"REGION","Gaza","Monetary Resources Vulnerability","% of HHs experiencing poverty "," % of HHs whose  food expenditure share and water expenditure share is atleast 80%",8,"0% - 9%","Total Population"
"m_2",0.627492336796712,"REGION","Gaza","Monetary Resources Vulnerability","% of HHs who have accrued debt to meet household needs
","% of HHs reporting one of the primary reasons for taking on debt is: education,basic household expenditure,healthcare,food",63,"60% - 69%","Total Population"
"m_2",0.590337642583065,"REGION","West Bank","Monetary Resources Vulnerability","% of HHs who have accrued debt to meet household needs
","% of HHs reporting one of the primary reasons for taking on debt is: education,basic household expenditure,healthcare,food",59,"50% - 59%","Total Population"
"no_vul",0.0151070053823335,"REGION","Gaza","Vulnerability","% of HH with no vulnerability","% of HH with no vulnerability",2,"0% - 9%","Total Population"
"no_vul",0.0721407377568817,"REGION","West Bank","Vulnerability","% of HH with no vulnerability","% of HH with no vulnerability",7,"0% - 9%","Total Population"
"one_dim_vul",0.17699173372912,"REGION","West Bank","Vulnerability","% of HH with one vulnerability dimension","% of HH with one vulnerability dimension",18,"10% - 19%","Total Population"
"one_dim_vul",0.0667145679889581,"REGION","Gaza","Vulnerability","% of HH with one vulnerability dimension","% of HH with one vulnerability dimension",7,"0% - 9%","Total Population"
"p_1",0.382873131804347,"REGION","Gaza","Protection Vulnerability","% of HHs with any member reportedly experiencing psychosocial distress (self-diagnosed)","% of HHs with any member reportedly experiencing psychosocial distress (self-diagnosed)",38,"30% - 39%","Total Population"
"p_1",0.214536123742247,"REGION","West Bank","Protection Vulnerability","% of HHs with any member reportedly experiencing psychosocial distress (self-diagnosed)","% of HHs with any member reportedly experiencing psychosocial distress (self-diagnosed)",21,"20% - 29%","Total Population"
"p_3",0.0793409565129218,"REGION","West Bank","Protection Vulnerability","% of HHs with at least one child engaged in labor","% of HHs with at least one child engaged in labor",8,"0% - 9%","Total Population"
"p_3",0.0534091582900823,"REGION","Gaza","Protection Vulnerability","% of HHs with at least one child engaged in labor","% of HHs with at least one child engaged in labor",5,"0% - 9%","Total Population"
"p_4",0.109404648123774,"REGION","Gaza","Protection Vulnerability","% of HHs in which women and girls avoid areas because they feel unsafe there","% of HHs in which women and girls avoid areas because they feel unsafe there",11,"10% - 19%","Total Population"
"p_4",0.102249642619216,"REGION","West Bank","Protection Vulnerability","% of HHs in which women and girls avoid areas because they feel unsafe there","% of HHs in which women and girls avoid areas because they feel unsafe there",10,"10% - 19%","Total Population"
"pov_vul",0.349348107583513,"REGION","West Bank","Monetary Resources Vulnerability","% of HHs experiencing monetary resources vulnerability","% of HHs experiencing monetary resources vulnerability",35,"30% - 39%","Total Population"
"pov_vul",0.561007338115608,"REGION","Gaza","Monetary Resources Vulnerability","% of HHs experiencing monetary resources vulnerability","% of HHs experiencing monetary resources vulnerability",56,"50% - 59%","Total Population"
"prot_hlth_vul",0.75967890636822,"REGION","Gaza","Vulnerability","Protection and Health","Protection and Health",76,"70% - 79%","Total Population"
"prot_hlth_vul",0.638253514191731,"REGION","West Bank","Vulnerability","Protection and Health","Protection and Health",64,"60% - 69%","Total Population"
"prot_pov_vul",0.73576115520517,"REGION","Gaza","Vulnerability","Protection and Monetary","Protection and Monetary",74,"70% - 79%","Total Population"
"prot_pov_vul",0.54319726609007,"REGION","West Bank","Vulnerability","Protection and Monetary","Protection and Monetary",54,"50% - 59%","Total Population"
"prot_shltr_vul",0.717430102278275,"REGION","Gaza","Vulnerability","Protection and Shelther","Protection and Shelther",72,"70% - 79%","Total Population"
"prot_shltr_vul",0.473695368175235,"REGION","West Bank","Vulnerability","Protection and Shelther","Protection and Shelther",47,"40% - 49%","Total Population"
"prot_vul",0.455424562842246,"REGION","Gaza","Protection Vulnerability","% of HHs experiencing protection vulnerability","% of HHs experiencing protection vulnerability",46,"40% - 49%","Total Population"
"prot_vul",0.310587706741043,"REGION","West Bank","Protection Vulnerability","% of HHs experiencing protection vulnerability","% of HHs experiencing protection vulnerability",31,"30% - 39%","Total Population"
"prot_wash_vul",0.59869145663556,"REGION","Gaza","Vulnerability","Protection and Wash","Protection and Wash",60,"60% - 69%","Total Population"
"prot_wash_vul",0.489315448108866,"REGION","West Bank","Vulnerability","Protection and Wash","Protection and Wash",49,"40% - 49%","Total Population"
"s_1",0.141393024510284,"REGION","Gaza","Shelter / Housing Vulnerability","% of HHs living under critical shelter conditions","% of HHs living under critical shelter conditions",14,"10% - 19%","Total Population"
"s_1",0.0192401677115141,"REGION","West Bank","Shelter / Housing Vulnerability","% of HHs living under critical shelter conditions","% of HHs living under critical shelter conditions",2,"0% - 9%","Total Population"
"s_2",0.358526338497284,"REGION","Gaza","Shelter / Housing Vulnerability","% of HHs with members sleeping in the living room area","% of HHs with members sleeping in the living room area",36,"30% - 39%","Total Population"
"s_2",0.188314061850393,"REGION","West Bank","Shelter / Housing Vulnerability","% of HHs with members sleeping in the living room area","% of HHs with members sleeping in the living room area",19,"10% - 19%","Total Population"
"s_3",0.0653343309914075,"REGION","Gaza","Shelter / Housing Vulnerability","% of HHs reporting risk of eviction","% of HHs reporting risk of eviction",7,"0% - 9%","Total Population"
"s_3",0.037293028217129,"REGION","West Bank","Shelter / Housing Vulnerability","% of HHs reporting risk of eviction","% of HHs reporting risk of eviction",4,"0% - 9%","Total Population"
"s_4",0.0941904899392657,"REGION","Gaza","Shelter / Housing Vulnerability","% of HHs without a secure occupancy arrangement for their current shelter","% of HHs without a secure occupancy arrangement for their current shelter",9,"0% - 9%","Total Population"
"s_4",0.0415029020798479,"REGION","West Bank","Shelter / Housing Vulnerability","% of HHs without a secure occupancy arrangement for their current shelter","% of HHs without a secure occupancy arrangement for their current shelter",4,"0% - 9%","Total Population"
"seven_dim_vul",0.0796595482309959,"REGION","Gaza","Vulnerability","% of HH with seven vulnerabilities dimensions","% of HH with seven vulnerabilities dimensions",8,"0% - 9%","Total Population"
"seven_dim_vul",0.028650540626577,"REGION","West Bank","Vulnerability","% of HH with seven vulnerabilities dimensions","% of HH with seven vulnerabilities dimensions",3,"0% - 9%","Total Population"
"shltr_pov_vul",0.768410711873675,"REGION","Gaza","Vulnerability","Shelther and Monetary","Shelther and Monetary",77,"70% - 79%","Total Population"
"shltr_pov_vul",0.477130108831479,"REGION","West Bank","Vulnerability","Shelther and Monetary","Shelther and Monetary",48,"40% - 49%","Total Population"
"shltr_vul",0.245730231131876,"REGION","West Bank","Shelter / Housing Vulnerability","% of HHs experiencing shelter vulnerability","% of HHs experiencing shelter vulnerability",25,"20% - 29%","Total Population"
"shltr_vul",0.537731898778319,"REGION","Gaza","Shelter / Housing Vulnerability","% of HHs experiencing shelter vulnerability","% of HHs experiencing shelter vulnerability",54,"50% - 59%","Total Population"
"shltr_wash_vul",0.6475659735298,"REGION","Gaza","Vulnerability","Shelther and Wash","Shelther and Wash",65,"60% - 69%","Total Population"
"shltr_wash_vul",0.43063870177599,"REGION","West Bank","Vulnerability","Shelther and Wash","Shelther and Wash",43,"40% - 49%","Total Population"
"six_dim_vul",0.13916408288926,"REGION","Gaza","Vulnerability","% of HH with six vulnerabilities dimensions","% of HH with six vulnerabilities dimensions",14,"10% - 19%","Total Population"
"six_dim_vul",0.0386861824723998,"REGION","West Bank","Vulnerability","% of HH with six vulnerabilities dimensions","% of HH with six vulnerabilities dimensions",4,"0% - 9%","Total Population"
"three_dim_vul",0.17545724573936,"REGION","Gaza","Vulnerability","% of HH with three vulnerabilities dimensions","% of HH with three vulnerabilities dimensions",18,"10% - 19%","Total Population"
"three_dim_vul",0.217009098574899,"REGION","West Bank","Vulnerability","% of HH with three vulnerabilities dimensions","% of HH with three vulnerabilities dimensions",22,"20% - 29%","Total Population"
"two_dim_vul",0.110070492418732,"REGION","Gaza","Vulnerability","% of HH with two vulnerabilities dimensions","% of HH with two vulnerabilities dimensions",11,"10% - 19%","Total Population"
"two_dim_vul",0.271900941022757,"REGION","West Bank","Vulnerability","% of HH with two vulnerabilities dimensions","% of HH with two vulnerabilities dimensions",27,"20% - 29%","Total Population"
"vul",0.927859262243118,"REGION","West Bank","Vulnerability"," % of HHs are assessed to be vulnerable in at least one dimension"," % of HHs are assessed to be vulnerable in at least one dimension",93,"90% - 100%","Total Population"
"vul",0.984892994617666,"REGION","Gaza","Vulnerability"," % of HHs are assessed to be vulnerable in at least one dimension"," % of HHs are assessed to be vulnerable in at least one dimension",98,"90% - 100%","Total Population"
"w_1",0.181203707100104,"REGION","West Bank","Water, Sanitation & Hygiene Vulnerability","% of HHs with limited access to a sufficient quantity of water for drinking and domestic purposes","% of HHs with limited access to a sufficient quantity of water for drinking and domestic purposes",18,"10% - 19%","Total Population"
"w_1",0.174924839308578,"REGION","Gaza","Water, Sanitation & Hygiene Vulnerability","% of HHs with limited access to a sufficient quantity of water for drinking and domestic purposes","% of HHs with limited access to a sufficient quantity of water for drinking and domestic purposes",17,"10% - 19%","Total Population"
"w_2",0.1211004645153,"REGION","Gaza","Water, Sanitation & Hygiene Vulnerability","% of HHs affected by flooding","% of HHs affected by flooding",12,"10% - 19%","Total Population"
"w_2",0.0783596969981867,"REGION","West Bank","Water, Sanitation & Hygiene Vulnerability","% of HHs affected by flooding","% of HHs affected by flooding",8,"0% - 9%","Total Population"
"w_3",0.0343427090144084,"REGION","Gaza","Water, Sanitation & Hygiene Vulnerability","% of HHs with limited access to  improved solid waste services","% of HHs with limited access to  improved solid waste services",3,"0% - 9%","Total Population"
"w_3",0.053262981374839,"REGION","West Bank","Water, Sanitation & Hygiene Vulnerability","% of HHs with limited access to  improved solid waste services","% of HHs with limited access to  improved solid waste services",5,"0% - 9%","Total Population"
"wash_pov_vul",0.673018928365747,"REGION","Gaza","Vulnerability","Wash and Monetary","Wash and Monetary",67,"60% - 69%","Total Population"
"wash_pov_vul",0.506647674597804,"REGION","West Bank","Vulnerability","Wash and Monetary","Wash and Monetary",51,"50% - 59%","Total Population"
"wash_vul",0.294548030027085,"REGION","Gaza","Water, Sanitation & Hygiene Vulnerability","% of HHs experiencing WASH vulnerability","% of HHs experiencing WASH vulnerability",29,"20% - 29%","Total Population"
"wash_vul",0.278769946681587,"REGION","West Bank","Water, Sanitation & Hygiene Vulnerability","% of HHs experiencing WASH vulnerability","% of HHs experiencing WASH vulnerability",28,"20% - 29%","Total Population"
