"dependent.var","numbers","repeat.var","repeat.var.value","Sector","Indicator","Sub-Indicator","Percent","Percent_groups","Population Reference"
"aap10",0.033333333,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",3.33,"0% - 9%","HHs reporting to have received aid"
"aap10",0.153846154,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",15.38,"10% - 19%","HHs reporting to have received aid"
"aap10",0.125,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",12.5,"10% - 19%","HHs reporting to have received aid"
"aap10",0.2,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",20,"20% - 29%","HHs reporting to have received aid"
"aap10",0.217391304,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",21.74,"20% - 29%","HHs reporting to have received aid"
"aap10",0.066666667,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",6.67,"0% - 9%","HHs reporting to have received aid"
"aap10",0.175,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",17.5,"10% - 19%","HHs reporting to have received aid"
"aap10",0.166666667,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",16.67,"10% - 19%","HHs reporting to have received aid"
"aap10",0.24137931,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting access/knowledge of complaint mechanisms ","% HH with access/knowledge of complaint mechanisms ",24.14,"20% - 29%","HHs reporting to have received aid"
"aap2_i",0.5,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",50,"50% - 59%","HHs reporting to have received aid"
"aap2_i",0.384615385,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",38.46,"30% - 39%","HHs reporting to have received aid"
"aap2_i",0.5625,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",56.25,"50% - 59%","HHs reporting to have received aid"
"aap2_i",0.063157895,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",6.32,"0% - 9%","HHs reporting to have received aid"
"aap2_i",0.545454545,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",54.55,"50% - 59%","HHs reporting to have received aid"
"aap2_i",0.166666667,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",16.67,"10% - 19%","HHs reporting to have received aid"
"aap2_i",0.283333333,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",28.33,"20% - 29%","HHs reporting to have received aid"
"aap2_i",0.325,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",32.5,"30% - 39%","HHs reporting to have received aid"
"aap2_i",0.3,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",30,"30% - 39%","HHs reporting to have received aid"
"aap2_i",0.608695652,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",60.87,"60% - 69%","HHs reporting to have received aid"
"aap2_i",0.37037037,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",37.04,"30% - 39%","HHs reporting to have received aid"
"aap2_i",0.375,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",37.5,"30% - 39%","HHs reporting to have received aid"
"aap2_i",0.413793103,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)",41.38,"40% - 49%","HHs reporting to have received aid"
"aap2_ii",0.75,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",75,"70% - 79%","HHs reporting to have received aid"
"aap2_ii",0.653846154,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",65.38,"60% - 69%","HHs reporting to have received aid"
"aap2_ii",0.777777778,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",77.78,"70% - 79%","HHs reporting to have received aid"
"aap2_ii",0.5625,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",56.25,"50% - 59%","HHs reporting to have received aid"
"aap2_ii",0.705263158,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",70.53,"70% - 79%","HHs reporting to have received aid"
"aap2_ii",0.545454545,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",54.55,"50% - 59%","HHs reporting to have received aid"
"aap2_ii",0.966666667,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",96.67,"90% - 100%","HHs reporting to have received aid"
"aap2_ii",0.916666667,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",91.67,"90% - 100%","HHs reporting to have received aid"
"aap2_ii",0.675,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",67.5,"60% - 69%","HHs reporting to have received aid"
"aap2_ii",0.9,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",90,"90% - 100%","HHs reporting to have received aid"
"aap2_ii",0.391304348,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",39.13,"30% - 39%","HHs reporting to have received aid"
"aap2_ii",0.708333333,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",70.83,"70% - 79%","HHs reporting to have received aid"
"aap2_ii",0.586206897,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Food",58.62,"50% - 59%","HHs reporting to have received aid"
"aap2_iii",0,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0.0625,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",6.25,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0.086956522,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",8.7,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0.034482759,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",3.45,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0.074074074,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",7.41,"0% - 9%","HHs reporting to have received aid"
"aap2_iii",0,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Water",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0.074074074,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",7.41,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0.0625,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",6.25,"0% - 9%","HHs reporting to have received aid"
"aap2_iv",0,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Fuel",0,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.05,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",5,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.043478261,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",4.35,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.033333333,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",3.33,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.03030303,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",3.03,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.034482759,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",3.45,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.016666667,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",1.67,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.231578947,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",23.16,"20% - 29%","HHs reporting to have received aid"
"aap2_ix",0.074074074,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",7.41,"0% - 9%","HHs reporting to have received aid"
"aap2_ix",0.125,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items",12.5,"10% - 19%","HHs reporting to have received aid"
"aap2_v",0,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0.038461538,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",3.85,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0.031578947,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",3.16,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_v",0,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Shelter",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0.041666667,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",4.17,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0.021052632,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",2.11,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0.03030303,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",3.03,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0.2,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",20,"20% - 29%","HHs reporting to have received aid"
"aap2_vi",0,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vi",0,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.086956522,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",8.7,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.115384615,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",11.54,"10% - 19%","HHs reporting to have received aid"
"aap2_vii",0.291666667,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",29.17,"20% - 29%","HHs reporting to have received aid"
"aap2_vii",0.1,"strata","hebron_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",10,"10% - 19%","HHs reporting to have received aid"
"aap2_vii",0.121212121,"strata","tulkarm_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",12.12,"10% - 19%","HHs reporting to have received aid"
"aap2_vii",0,"strata","H2","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",0,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.05,"strata","jericho_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",5,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.025,"strata","jerusalem_2_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",2.5,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.041666667,"strata","nablus_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",4.17,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.034482759,"strata","qalqiliya_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",3.45,"0% - 9%","HHs reporting to have received aid"
"aap2_vii",0.148148148,"strata","ramallah_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",14.81,"10% - 19%","HHs reporting to have received aid"
"aap2_vii",0.125,"strata","salfit_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",12.5,"10% - 19%","HHs reporting to have received aid"
"aap2_vii",0,"strata","tubas_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Health services",0,"0% - 9%","HHs reporting to have received aid"
"aap2_viii",0,"strata","jenin_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Education services",0,"0% - 9%","HHs reporting to have received aid"
"aap2_viii",0,"strata","Area_AB","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Education services",0,"0% - 9%","HHs reporting to have received aid"
"aap2_viii",0,"strata","bethlehem_c","Accountability to Affected Populations (AAP)","% HH reporting to have received in the past 6 months by type of aid received","Education services",0,"0% - 9%","HHs reporting to have received aid"
