"dependent.var","numbers","repeat.var","Area","Sector","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1",0.294392523364486,"strata","Tulkarm Area C","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_2",0.107981220657277,"strata","Salfit Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",11,"10% - 19%","Total Population"
"e_2",0.0687830687830688,"strata","Ramallah Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",7,"0% - 9%","Total Population"
"e_2",0.0384615384615385,"strata","Area_AB","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",4,"0% - 9%","Total Population"
"e_2",0.0659340659340659,"strata","Bethlehem Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",7,"0% - 9%","Total Population"
"e_2",0.0985221674876847,"strata","Hebron Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",10,"10% - 19%","Total Population"
"e_2",0.116822429906542,"strata","Jenin Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",12,"10% - 19%","Total Population"
"e_2",0.366379310344828,"strata","Jericho Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",37,"30% - 39%","Total Population"
"e_2",0.117647058823529,"strata","Jerusalem_2 Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",12,"10% - 19%","Total Population"
"e_2",0.183574879227053,"strata","Nablus Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",18,"10% - 19%","Total Population"
"e_2",0.109004739336493,"strata","Qalqilya Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",11,"10% - 19%","Total Population"
"e_2",0.00476190476190476,"strata","H2","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",0,"0% - 9%","Total Population"
"e_2",0.408376963350785,"strata","Tubas Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",41,"40% - 49%","Total Population"
"e_2",0.14018691588785,"strata","Tulkarm Area C","Education Vulnerability","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings","% of HHs that cannot access a functional basic and secondary school within a 30min walk from dwellings",14,"10% - 19%","Total Population"
"e_3",0.0751173708920188,"strata","Salfit Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",8,"0% - 9%","Total Population"
"e_3",0.158730158730159,"strata","Ramallah Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",16,"10% - 19%","Total Population"
"e_3",0.206730769230769,"strata","Area_AB","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",21,"20% - 29%","Total Population"
"e_3",0.368131868131868,"strata","Bethlehem Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",37,"30% - 39%","Total Population"
"e_3",0.152709359605911,"strata","Hebron Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",15,"10% - 19%","Total Population"
"e_3",0.196261682242991,"strata","Jenin Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",20,"20% - 29%","Total Population"
"e_3",0.40948275862069,"strata","Jericho Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",41,"40% - 49%","Total Population"
"e_3",0.294117647058824,"strata","Jerusalem_2 Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",29,"20% - 29%","Total Population"
"e_3",0.36231884057971,"strata","Nablus Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",36,"30% - 39%","Total Population"
"e_3",0.184834123222749,"strata","Qalqilya Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",18,"10% - 19%","Total Population"
"e_3",0.261904761904762,"strata","H2","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",26,"20% - 29%","Total Population"
"e_3",0.287958115183246,"strata","Tubas Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",29,"20% - 29%","Total Population"
"e_3",0.261682242990654,"strata","Tulkarm Area C","Education Vulnerability","% of HHs reporting safety concerns in relation to their childrens' education","% of HHs reporting safety concerns in relation to their childrens' education",26,"20% - 29%","Total Population"
"edu_food_vul",0.456730769230769,"strata","Area_AB","Vulnerability","Education and Food","Education and Food",46,"40% - 49%","Total Population"
"edu_food_vul",0.538461538461538,"strata","Bethlehem Area C","Vulnerability","Education and Food","Education and Food",54,"50% - 59%","Total Population"
"edu_food_vul",0.541871921182266,"strata","Hebron Area C","Vulnerability","Education and Food","Education and Food",54,"50% - 59%","Total Population"
"edu_food_vul",0.551401869158878,"strata","Jenin Area C","Vulnerability","Education and Food","Education and Food",55,"50% - 59%","Total Population"
"edu_food_vul",0.831896551724138,"strata","Jericho Area C","Vulnerability","Education and Food","Education and Food",83,"80% - 89%","Total Population"
"edu_food_vul",0.663101604278075,"strata","Jerusalem_2 Area C","Vulnerability","Education and Food","Education and Food",66,"60% - 69%","Total Population"
"edu_food_vul",0.594202898550725,"strata","Nablus Area C","Vulnerability","Education and Food","Education and Food",59,"50% - 59%","Total Population"
"edu_food_vul",0.5260663507109,"strata","Qalqilya Area C","Vulnerability","Education and Food","Education and Food",53,"50% - 59%","Total Population"
"edu_food_vul",0.592592592592593,"strata","Ramallah Area C","Vulnerability","Education and Food","Education and Food",59,"50% - 59%","Total Population"
"edu_food_vul",0.474178403755869,"strata","Salfit Area C","Vulnerability","Education and Food","Education and Food",47,"40% - 49%","Total Population"
"edu_food_vul",0.68586387434555,"strata","Tubas Area C","Vulnerability","Education and Food","Education and Food",69,"60% - 69%","Total Population"
"edu_food_vul",0.551401869158879,"strata","Tulkarm Area C","Vulnerability","Education and Food","Education and Food",55,"50% - 59%","Total Population"
"edu_food_vul",0.50952380952381,"strata","H2","Vulnerability","Education and Food","Education and Food",51,"50% - 59%","Total Population"
"edu_hlth_vul",0.721153846153846,"strata","Area_AB","Vulnerability","Education and Health","Education and Health",72,"70% - 79%","Total Population"
"edu_hlth_vul",0.785714285714286,"strata","Bethlehem Area C","Vulnerability","Education and Health","Education and Health",79,"70% - 79%","Total Population"
"edu_hlth_vul",0.70935960591133,"strata","Hebron Area C","Vulnerability","Education and Health","Education and Health",71,"70% - 79%","Total Population"
"edu_hlth_vul",0.738317757009346,"strata","Jenin Area C","Vulnerability","Education and Health","Education and Health",74,"70% - 79%","Total Population"
"edu_hlth_vul",0.883620689655172,"strata","Jericho Area C","Vulnerability","Education and Health","Education and Health",88,"80% - 89%","Total Population"
"edu_hlth_vul",0.802139037433155,"strata","Jerusalem_2 Area C","Vulnerability","Education and Health","Education and Health",80,"80% - 89%","Total Population"
"edu_hlth_vul",0.801932367149759,"strata","Nablus Area C","Vulnerability","Education and Health","Education and Health",80,"80% - 89%","Total Population"
"edu_hlth_vul",0.729857819905213,"strata","Qalqilya Area C","Vulnerability","Education and Health","Education and Health",73,"70% - 79%","Total Population"
"edu_hlth_vul",0.756613756613757,"strata","Ramallah Area C","Vulnerability","Education and Health","Education and Health",76,"70% - 79%","Total Population"
"edu_hlth_vul",0.63849765258216,"strata","Salfit Area C","Vulnerability","Education and Health","Education and Health",64,"60% - 69%","Total Population"
"edu_hlth_vul",0.848167539267016,"strata","Tubas Area C","Vulnerability","Education and Health","Education and Health",85,"80% - 89%","Total Population"
"edu_hlth_vul",0.785046728971963,"strata","Tulkarm Area C","Vulnerability","Education and Health","Education and Health",79,"70% - 79%","Total Population"
"edu_hlth_vul",0.719047619047619,"strata","H2","Vulnerability","Education and Health","Education and Health",72,"70% - 79%","Total Population"
"edu_liv_vul",0.668269230769231,"strata","Area_AB","Vulnerability","Education and Employment ","Education and Employment ",67,"60% - 69%","Total Population"
"edu_liv_vul",0.818681318681319,"strata","Bethlehem Area C","Vulnerability","Education and Employment ","Education and Employment ",82,"80% - 89%","Total Population"
"edu_liv_vul",0.758620689655172,"strata","Hebron Area C","Vulnerability","Education and Employment ","Education and Employment ",76,"70% - 79%","Total Population"
"edu_liv_vul",0.799065420560748,"strata","Jenin Area C","Vulnerability","Education and Employment ","Education and Employment ",80,"80% - 89%","Total Population"
"edu_liv_vul",0.935344827586207,"strata","Jericho Area C","Vulnerability","Education and Employment ","Education and Employment ",94,"90% - 100%","Total Population"
"edu_liv_vul",0.823529411764706,"strata","Jerusalem_2 Area C","Vulnerability","Education and Employment ","Education and Employment ",82,"80% - 89%","Total Population"
"edu_liv_vul",0.85024154589372,"strata","Nablus Area C","Vulnerability","Education and Employment ","Education and Employment ",85,"80% - 89%","Total Population"
"edu_liv_vul",0.772511848341232,"strata","Qalqilya Area C","Vulnerability","Education and Employment ","Education and Employment ",77,"70% - 79%","Total Population"
"edu_liv_vul",0.740740740740741,"strata","Ramallah Area C","Vulnerability","Education and Employment ","Education and Employment ",74,"70% - 79%","Total Population"
"edu_liv_vul",0.741784037558685,"strata","Salfit Area C","Vulnerability","Education and Employment ","Education and Employment ",74,"70% - 79%","Total Population"
"edu_liv_vul",0.879581151832461,"strata","Tubas Area C","Vulnerability","Education and Employment ","Education and Employment ",88,"80% - 89%","Total Population"
"edu_liv_vul",0.83177570093458,"strata","Tulkarm Area C","Vulnerability","Education and Employment ","Education and Employment ",83,"80% - 89%","Total Population"
"edu_liv_vul",0.719047619047619,"strata","H2","Vulnerability","Education and Employment ","Education and Employment ",72,"70% - 79%","Total Population"
"edu_pov_vul",0.615384615384615,"strata","Area_AB","Vulnerability","Education and Monetary","Education and Monetary",62,"60% - 69%","Total Population"
"edu_pov_vul",0.653846153846154,"strata","Bethlehem Area C","Vulnerability","Education and Monetary","Education and Monetary",65,"60% - 69%","Total Population"
"edu_pov_vul",0.694581280788177,"strata","Hebron Area C","Vulnerability","Education and Monetary","Education and Monetary",69,"60% - 69%","Total Population"
"edu_pov_vul",0.616822429906542,"strata","Jenin Area C","Vulnerability","Education and Monetary","Education and Monetary",62,"60% - 69%","Total Population"
"edu_pov_vul",0.866379310344828,"strata","Jericho Area C","Vulnerability","Education and Monetary","Education and Monetary",87,"80% - 89%","Total Population"
"edu_pov_vul",0.716577540106952,"strata","Jerusalem_2 Area C","Vulnerability","Education and Monetary","Education and Monetary",72,"70% - 79%","Total Population"
"edu_pov_vul",0.671497584541063,"strata","Nablus Area C","Vulnerability","Education and Monetary","Education and Monetary",67,"60% - 69%","Total Population"
"edu_pov_vul",0.597156398104265,"strata","Qalqilya Area C","Vulnerability","Education and Monetary","Education and Monetary",60,"60% - 69%","Total Population"
"edu_pov_vul",0.677248677248677,"strata","Ramallah Area C","Vulnerability","Education and Monetary","Education and Monetary",68,"60% - 69%","Total Population"
"edu_pov_vul",0.539906103286385,"strata","Salfit Area C","Vulnerability","Education and Monetary","Education and Monetary",54,"50% - 59%","Total Population"
"edu_pov_vul",0.743455497382199,"strata","Tubas Area C","Vulnerability","Education and Monetary","Education and Monetary",74,"70% - 79%","Total Population"
"edu_pov_vul",0.593457943925234,"strata","Tulkarm Area C","Vulnerability","Education and Monetary","Education and Monetary",59,"50% - 59%","Total Population"
"edu_pov_vul",0.604761904761905,"strata","H2","Vulnerability","Education and Monetary","Education and Monetary",60,"60% - 69%","Total Population"
"edu_prot_vul",0.548076923076923,"strata","Area_AB","Vulnerability","Education and Protection","Education and Protection",55,"50% - 59%","Total Population"
"edu_prot_vul",0.598901098901099,"strata","Bethlehem Area C","Vulnerability","Education and Protection","Education and Protection",60,"60% - 69%","Total Population"
"edu_prot_vul",0.561576354679803,"strata","Hebron Area C","Vulnerability","Education and Protection","Education and Protection",56,"50% - 59%","Total Population"
"edu_prot_vul",0.607476635514019,"strata","Jenin Area C","Vulnerability","Education and Protection","Education and Protection",61,"60% - 69%","Total Population"
"edu_prot_vul",0.827586206896552,"strata","Jericho Area C","Vulnerability","Education and Protection","Education and Protection",83,"80% - 89%","Total Population"
"edu_prot_vul",0.684491978609626,"strata","Jerusalem_2 Area C","Vulnerability","Education and Protection","Education and Protection",68,"60% - 69%","Total Population"
"edu_prot_vul",0.739130434782609,"strata","Nablus Area C","Vulnerability","Education and Protection","Education and Protection",74,"70% - 79%","Total Population"
"edu_prot_vul",0.545023696682464,"strata","Qalqilya Area C","Vulnerability","Education and Protection","Education and Protection",55,"50% - 59%","Total Population"
"edu_prot_vul",0.677248677248677,"strata","Ramallah Area C","Vulnerability","Education and Protection","Education and Protection",68,"60% - 69%","Total Population"
"edu_prot_vul",0.544600938967136,"strata","Salfit Area C","Vulnerability","Education and Protection","Education and Protection",54,"50% - 59%","Total Population"
"edu_prot_vul",0.706806282722513,"strata","Tubas Area C","Vulnerability","Education and Protection","Education and Protection",71,"70% - 79%","Total Population"
"edu_prot_vul",0.654205607476636,"strata","Tulkarm Area C","Vulnerability","Education and Protection","Education and Protection",65,"60% - 69%","Total Population"
"edu_prot_vul",0.580952380952381,"strata","H2","Vulnerability","Education and Protection","Education and Protection",58,"50% - 59%","Total Population"
"edu_shltr_vul",0.490384615384615,"strata","Area_AB","Vulnerability","Education and Shelter","Education and Shelter",49,"40% - 49%","Total Population"
"edu_shltr_vul",0.565934065934066,"strata","Bethlehem Area C","Vulnerability","Education and Shelter","Education and Shelter",57,"50% - 59%","Total Population"
"edu_shltr_vul",0.67487684729064,"strata","Hebron Area C","Vulnerability","Education and Shelter","Education and Shelter",67,"60% - 69%","Total Population"
"edu_shltr_vul",0.658878504672897,"strata","Jenin Area C","Vulnerability","Education and Shelter","Education and Shelter",66,"60% - 69%","Total Population"
"edu_shltr_vul",0.90948275862069,"strata","Jericho Area C","Vulnerability","Education and Shelter","Education and Shelter",91,"90% - 100%","Total Population"
"edu_shltr_vul",0.684491978609626,"strata","Jerusalem_2 Area C","Vulnerability","Education and Shelter","Education and Shelter",68,"60% - 69%","Total Population"
"edu_shltr_vul",0.690821256038647,"strata","Nablus Area C","Vulnerability","Education and Shelter","Education and Shelter",69,"60% - 69%","Total Population"
"edu_shltr_vul",0.516587677725118,"strata","Qalqilya Area C","Vulnerability","Education and Shelter","Education and Shelter",52,"50% - 59%","Total Population"
"edu_shltr_vul",0.608465608465608,"strata","Ramallah Area C","Vulnerability","Education and Shelter","Education and Shelter",61,"60% - 69%","Total Population"
"edu_shltr_vul",0.539906103286385,"strata","Salfit Area C","Vulnerability","Education and Shelter","Education and Shelter",54,"50% - 59%","Total Population"
"edu_shltr_vul",0.81151832460733,"strata","Tubas Area C","Vulnerability","Education and Shelter","Education and Shelter",81,"80% - 89%","Total Population"
"edu_shltr_vul",0.677570093457944,"strata","Tulkarm Area C","Vulnerability","Education and Shelter","Education and Shelter",68,"60% - 69%","Total Population"
"edu_shltr_vul",0.642857142857143,"strata","H2","Vulnerability","Education and Shelter","Education and Shelter",64,"60% - 69%","Total Population"
"edu_vul",0.5,"strata","Tulkarm Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",50,"50% - 59%","Total Population"
"edu_vul",0.680628272251309,"strata","Tubas Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",68,"60% - 69%","Total Population"
"edu_vul",0.384615384615385,"strata","Area_AB","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",38,"30% - 39%","Total Population"
"edu_vul",0.521978021978022,"strata","Bethlehem Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",52,"50% - 59%","Total Population"
"edu_vul",0.532019704433498,"strata","Hebron Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",53,"50% - 59%","Total Population"
"edu_vul",0.523364485981308,"strata","Jenin Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",52,"50% - 59%","Total Population"
"edu_vul",0.754310344827586,"strata","Jericho Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",75,"70% - 79%","Total Population"
"edu_vul",0.593582887700535,"strata","Jerusalem_2 Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",59,"50% - 59%","Total Population"
"edu_vul",0.579710144927536,"strata","Nablus Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",58,"50% - 59%","Total Population"
"edu_vul",0.469194312796208,"strata","Qalqilya Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",47,"40% - 49%","Total Population"
"edu_vul",0.507936507936508,"strata","Ramallah Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",51,"50% - 59%","Total Population"
"edu_vul",0.460093896713615,"strata","Salfit Area C","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",46,"40% - 49%","Total Population"
"edu_vul",0.490476190476191,"strata","H2","Education Vulnerability","% of HHs experiencing education vulnerability","% of HHs experiencing education vulnerability",49,"40% - 49%","Total Population"
"edu_wash_vul",0.514423076923077,"strata","Area_AB","Vulnerability","Education and Wash","Education and Wash",51,"50% - 59%","Total Population"
"edu_wash_vul",0.60989010989011,"strata","Bethlehem Area C","Vulnerability","Education and Wash","Education and Wash",61,"60% - 69%","Total Population"
"edu_wash_vul",0.724137931034483,"strata","Hebron Area C","Vulnerability","Education and Wash","Education and Wash",72,"70% - 79%","Total Population"
"edu_wash_vul",0.602803738317757,"strata","Jenin Area C","Vulnerability","Education and Wash","Education and Wash",60,"60% - 69%","Total Population"
"edu_wash_vul",0.922413793103448,"strata","Jericho Area C","Vulnerability","Education and Wash","Education and Wash",92,"90% - 100%","Total Population"
"edu_wash_vul",0.67379679144385,"strata","Jerusalem_2 Area C","Vulnerability","Education and Wash","Education and Wash",67,"60% - 69%","Total Population"
"edu_wash_vul",0.657004830917874,"strata","Nablus Area C","Vulnerability","Education and Wash","Education and Wash",66,"60% - 69%","Total Population"
"edu_wash_vul",0.549763033175355,"strata","Qalqilya Area C","Vulnerability","Education and Wash","Education and Wash",55,"50% - 59%","Total Population"
"edu_wash_vul",0.603174603174603,"strata","Ramallah Area C","Vulnerability","Education and Wash","Education and Wash",60,"60% - 69%","Total Population"
"edu_wash_vul",0.544600938967136,"strata","Salfit Area C","Vulnerability","Education and Wash","Education and Wash",54,"50% - 59%","Total Population"
"edu_wash_vul",0.764397905759162,"strata","Tubas Area C","Vulnerability","Education and Wash","Education and Wash",76,"70% - 79%","Total Population"
"edu_wash_vul",0.616822429906542,"strata","Tulkarm Area C","Vulnerability","Education and Wash","Education and Wash",62,"60% - 69%","Total Population"
"edu_wash_vul",0.647619047619048,"strata","H2","Vulnerability","Education and Wash","Education and Wash",65,"60% - 69%","Total Population"
"eight_dim_vul",0,"strata","H2","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0.00480769230769231,"strata","Area_AB","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0.00549450549450549,"strata","Bethlehem Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",1,"0% - 9%","Total Population"
"eight_dim_vul",0.00492610837438424,"strata","Hebron Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0,"strata","Jenin Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0.0474137931034483,"strata","Jericho Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",5,"0% - 9%","Total Population"
"eight_dim_vul",0.0053475935828877,"strata","Jerusalem_2 Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",1,"0% - 9%","Total Population"
"eight_dim_vul",0.0193236714975845,"strata","Nablus Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",2,"0% - 9%","Total Population"
"eight_dim_vul",0,"strata","Qalqilya Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0,"strata","Ramallah Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0,"strata","Salfit Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0,"strata","Tubas Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",0,"0% - 9%","Total Population"
"eight_dim_vul",0.00934579439252337,"strata","Tulkarm Area C","Vulnerability","% of HH with eight vulnerabilities dimensions","% of HH with eight vulnerabilities dimensions",1,"0% - 9%","Total Population"
"f_1",0.0333333333333333,"strata","H2","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",3,"0% - 9%","Total Population"
"f_1",0.149038461538462,"strata","Area_AB","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",15,"10% - 19%","Total Population"
"f_1",0.0824175824175824,"strata","Bethlehem Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",8,"0% - 9%","Total Population"
"f_1",0.0344827586206897,"strata","Hebron Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",3,"0% - 9%","Total Population"
"f_1",0.088785046728972,"strata","Jenin Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",9,"0% - 9%","Total Population"
"f_1",0.28448275862069,"strata","Jericho Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",28,"20% - 29%","Total Population"
"f_1",0.25668449197861,"strata","Jerusalem_2 Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",26,"20% - 29%","Total Population"
"f_1",0.106280193236715,"strata","Nablus Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",11,"10% - 19%","Total Population"
"f_1",0.137440758293839,"strata","Qalqilya Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",14,"10% - 19%","Total Population"
"f_1",0.148148148148148,"strata","Ramallah Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",15,"10% - 19%","Total Population"
"f_1",0.0469483568075117,"strata","Salfit Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",5,"0% - 9%","Total Population"
"f_1",0.0209424083769634,"strata","Tubas Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",2,"0% - 9%","Total Population"
"f_1",0.163551401869159,"strata","Tulkarm Area C","Food Security Vulnerability","FIES","% of HHs who reported they either: Ate less OR Went the entire day without eating",16,"10% - 19%","Total Population"
"five_dim_vul",0.0841121495327103,"strata","Tulkarm Area C","Vulnerability","% of HH with five vulnerabilities dimensions","% of HH with five vulnerabilities dimensions",8,"0% - 9%","Total Population"
