"dependent.var","independent.var.value","numbers","repeat.var","Area","Vulnerability Dimension","research.question","Indicator","Percent","Percent_groups","Population Reference"
"e_1","Female headed households",0.0909090909090909,"strata","Madinat Ezahra","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",9,"0% - 9%","HHs with school-aged children"
"e_1","Male headed households",0.386138613861386,"strata","Al Maghazi Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.230769230769231,"strata","Al Maghazi Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1","Male headed households",0.314814814814815,"strata","An Nuseirat Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.0952380952380952,"strata","An Nuseirat Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",10,"10% - 19%","HHs with school-aged children"
"e_1","Male headed households",0.396694214876033,"strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",40,"40% - 49%","HHs with school-aged children"
"e_1","Female headed households",0.230769230769231,"strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1","Male headed households",0.357142857142857,"strata","Rafah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","Female headed households",0.25,"strata","Rafah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",25,"20% - 29%","HHs with school-aged children"
"e_1","Male headed households",0.272727272727273,"strata","Ash Shati' Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",27,"20% - 29%","HHs with school-aged children"
"e_1","Female headed households",0.294117647058824,"strata","Ash Shati' Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_1","Female headed households",0.153846153846154,"strata","Umm an Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",15,"10% - 19%","HHs with school-aged children"
"e_1","Households without disability",0.288659793814433,"strata","'Abasan al Jadida (as Saghira)","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_1","Households with disability",0.375,"strata","'Abasan al Jadida (as Saghira)","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.415094339622641,"strata","Juhor ad Dik","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",42,"40% - 49%","HHs with school-aged children"
"e_1","Households with disability",0.333333333333333,"strata","Juhor ad Dik","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.41025641025641,"strata","Khan Yunis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Households with disability",0.285714285714286,"strata","Khan Yunis","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",29,"20% - 29%","HHs with school-aged children"
"e_1","Households without disability",0.353535353535354,"strata","Al Fukhkhari","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.384615384615385,"strata","Al Fukhkhari","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.25,"strata","Al Maghazi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",25,"20% - 29%","HHs with school-aged children"
"e_1","Households with disability",0.153846153846154,"strata","Al Maghazi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",15,"10% - 19%","HHs with school-aged children"
"e_1","Households without disability",0.409090909090909,"strata","Al Mughraqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Households with disability",0.642857142857143,"strata","Al Mughraqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",64,"60% - 69%","HHs with school-aged children"
"e_1","Households without disability",0.175257731958763,"strata","Al Musaddar","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",18,"10% - 19%","HHs with school-aged children"
"e_1","Households with disability",0.375,"strata","Al Musaddar","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.5,"strata","Al Qarara","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",50,"50% - 59%","HHs with school-aged children"
"e_1","Households without disability",0.361344537815126,"strata","Al Qarara","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.263157894736842,"strata","An Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",26,"20% - 29%","HHs with school-aged children"
"e_1","Households without disability",0.313725490196078,"strata","An Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.254237288135593,"strata","An Nuseirat","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",25,"20% - 29%","HHs with school-aged children"
"e_1","Households with disability",0.666666666666667,"strata","An Nuseirat","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",67,"60% - 69%","HHs with school-aged children"
"e_1","Households without disability",0.350515463917526,"strata","Shokat as Sufi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.227272727272727,"strata","Shokat as Sufi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1","Households with disability",0.125,"strata","Az Zawayda","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",12,"10% - 19%","HHs with school-aged children"
"e_1","Non Refugee households",0.342105263157895,"strata","'Abasan al Jadida (as Saghira)","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",34,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.244444444444444,"strata","'Abasan al Jadida (as Saghira)","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",24,"20% - 29%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.365384615384615,"strata","'Abasan al Kabira","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.302631578947368,"strata","'Abasan al Kabira","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.416666666666667,"strata","Al Bureij","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",42,"40% - 49%","HHs with school-aged children"
"e_1","Non Refugee households",0.625,"strata","Al Bureij","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",62,"60% - 69%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.351851851851852,"strata","Al Fukhkhari","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",35,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.5,"strata","Al Fukhkhari","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",50,"50% - 59%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.243478260869565,"strata","Al Maghazi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",24,"20% - 29%","HHs with school-aged children"
"e_1","Non Refugee households",0.166666666666667,"strata","Al Maghazi","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",17,"10% - 19%","HHs with school-aged children"
"e_1","Non Refugee households",0.5,"strata","Al Mughraqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",50,"50% - 59%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.409090909090909,"strata","Al Mughraqa","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Non Refugee households",0.159090909090909,"strata","Al Musaddar","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",16,"10% - 19%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.213114754098361,"strata","Al Musaddar","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",21,"20% - 29%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.440677966101695,"strata","Al Qarara","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",44,"40% - 49%","HHs with school-aged children"
"e_1","Non Refugee households",0.314285714285714,"strata","Al Qarara","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.30188679245283,"strata","An Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.333333333333333,"strata","Jabalya Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.372093023255814,"strata","Jabalya Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",37,"30% - 39%","HHs with school-aged children"
"e_1","In Camp Refugee households",0.270491803278689,"strata","Ash Shati' Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",27,"20% - 29%","HHs with school-aged children"
"e_1","Non Refugee households",0.333333333333333,"strata","An Naser","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",33,"30% - 39%","HHs with school-aged children"
"e_1","Out-of Camp Refugee households",0.304347826086957,"strata","An Nuseirat","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","Non Refugee households",0.0833333333333333,"strata","An Nuseirat","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",8,"0% - 9%","HHs with school-aged children"
"e_1","Households without disability",0.310679611650485,"strata","Khan Yunis Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.409090909090909,"strata","Khan Yunis Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Households without disability",0.314814814814815,"strata","Khuza'a","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",31,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.411764705882353,"strata","Khuza'a","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",41,"40% - 49%","HHs with school-aged children"
"e_1","Households without disability",0.278260869565217,"strata","Madinat Ezahra","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",28,"20% - 29%","HHs with school-aged children"
"e_1","Households with disability",0.5,"strata","Madinat Ezahra","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",50,"50% - 59%","HHs with school-aged children"
"e_1","Households with disability",0.166666666666667,"strata","Al Maghazi Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",17,"10% - 19%","HHs with school-aged children"
"e_1","Households without disability",0.385321100917431,"strata","Al Maghazi Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",39,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.303030303030303,"strata","An Nuseirat Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.2,"strata","An Nuseirat Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",20,"20% - 29%","HHs with school-aged children"
"e_1","Households without disability",0.383928571428572,"strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.363636363636364,"strata","Rafah","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",36,"30% - 39%","HHs with school-aged children"
"e_1","Households without disability",0.377551020408163,"strata","Rafah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",38,"30% - 39%","HHs with school-aged children"
"e_1","Households with disability",0.233333333333333,"strata","Rafah Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",23,"20% - 29%","HHs with school-aged children"
"e_1","Households without disability",0.30188679245283,"strata","Ash Shati' Camp","Education Vulnerability","% of HHs with at least one child not enrolled in school during the 2020-2021 school year","% of HHs with at least one child not enrolled in school during the 2020-2021 school year",30,"30% - 39%","HHs with school-aged children"
