"dependent.var","numbers","repeat.var","repeat.var.value","Indicator Group / Sector","research.question","sub.research.question"
"aap10",0.0192062128837765,"governorate_wb","bethlehem","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.2,"governorate_wb","hebron","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.474526375166365,"governorate_wb","jenin","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.0666666666666667,"governorate_wb","jericho","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.413501312547305,"governorate_wb","jerusalem_2","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap10",0.125639135276282,"governorate_wb","nablus","AAP","% HH with access/knowledge of complaint mechanisms","% HH with access/knowledge of complaint mechanisms"
"aap2_i",0.209626399288502,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.5,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.5625,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.0022747244882244,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.545454545454545,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.509797548012936,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.283333333333333,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.453423783679318,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.375,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.594246750547903,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_i",0.37037037037037,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Cash (multipurpose)"
"aap2_ii",0.490202451987064,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.916666666666667,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.538412425767553,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.809626399288502,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.545454545454545,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.211932665530276,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.777777777777778,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.913501312547305,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.749360864723718,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.5625,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_ii",0.989384619054953,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Food"
"aap2_iii",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0.0078380384103491,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0.0740740740740741,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0.0625,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0.00106541656520323,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iii",0,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Water"
"aap2_iv",0,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0.0740740740740741,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0.0625,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_iv",0,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Fuel"
"aap2_ix",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.00481319964425078,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.00391901920517455,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.00106541656520323,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.0166666666666667,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.0740740740740741,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.125,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.00834065645682281,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_ix",0.0303030303030303,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Other non-food items"
"aap2_v",0.123082594171153,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0.0011373622441122,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_v",0,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Shelter"
"aap2_vi",0,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0.000758241496074801,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0.0303030303030303,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0.00640207096125882,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vi",0.0532299615093506,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Seasonal items"
"aap2_vii",0.0448144967288117,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.190373600711498,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.125,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.121212121212121,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.123721729447435,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.0078380384103491,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.05,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.00665374518866883,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.194886000487024,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_vii",0.148148148148148,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Health services"
"aap2_viii",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0.0166666666666667,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0.00665374518866883,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0.00106541656520323,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0.0625,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_viii",0,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Education services"
"aap2_x",0,"governorate_wb","hebron","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","jenin","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","jericho","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","jerusalem_2","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0.000639135276282406,"governorate_wb","nablus","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","qalqiliya","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","ramallah","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","salfit","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","bethlehem","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","tubas","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap2_x",0,"governorate_wb","tulkarm","AAP","% HH reporting to have received in the past 6 months by type of aid received","Protection/legal services"
"aap3",0.851851851851852,"governorate_wb","ramallah","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.6875,"governorate_wb","salfit","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.751917405828847,"governorate_wb","nablus","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.41001491571291,"governorate_wb","qalqiliya","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.935979290387412,"governorate_wb","bethlehem","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.995186800355749,"governorate_wb","hebron","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.509667579074954,"governorate_wb","tubas","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.424242424242424,"governorate_wb","tulkarm","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.926808802924643,"governorate_wb","jerusalem_2","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.0666233264879673,"governorate_wb","jenin","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap3",0.633333333333333,"governorate_wb","jericho","AAP","% HH satisfied with the aid that they have received in the past 6 months","% HH satisfied with the aid that they have received in the past 6 months"
"aap4_i",NA,"governorate_wb","hebron","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.2,"governorate_wb","bethlehem","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0,"governorate_wb","salfit","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.0015487775457423,"governorate_wb","tubas","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.421052631578947,"governorate_wb","tulkarm","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.489458854884311,"governorate_wb","jenin","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.19047619047619,"governorate_wb","jericho","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0,"governorate_wb","jerusalem_2","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.498711849820787,"governorate_wb","nablus","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.00180583644159518,"governorate_wb","qalqiliya","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_i",0.25,"governorate_wb","ramallah","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Did not receive the aid on time/ Delays in delivery of aid"
"aap4_ii",0,"governorate_wb","jenin","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.476190476190476,"governorate_wb","jericho","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.1,"governorate_wb","bethlehem","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",NA,"governorate_wb","hebron","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.0526315789473684,"governorate_wb","tulkarm","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0,"governorate_wb","qalqiliya","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.25,"governorate_wb","ramallah","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.222222222222222,"governorate_wb","jerusalem_2","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.00257630035842605,"governorate_wb","nablus","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.4,"governorate_wb","salfit","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_ii",0.00309755509148459,"governorate_wb","tubas","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quality was not good enough"
"aap4_iii",1,"governorate_wb","bethlehem","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",NA,"governorate_wb","hebron","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.666666666666667,"governorate_wb","jerusalem_2","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.501288150179213,"governorate_wb","nablus","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",1,"governorate_wb","jenin","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.857142857142857,"governorate_wb","jericho","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",1,"governorate_wb","ramallah","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.6,"governorate_wb","salfit","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.998451222454258,"governorate_wb","tubas","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.67148223051092,"governorate_wb","qalqiliya","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap4_iii",0.947368421052632,"governorate_wb","tulkarm","AAP","Most commonly reported reasons for dissatisfaction with the aid received","Quantity was not good enough"
"aap5",0.88977310617952,"governorate_wb","jenin","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.43859649122807,"governorate_wb","jericho","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.0140556733275512,"governorate_wb","jerusalem_2","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.324603673543027,"governorate_wb","qalqiliya","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.28,"governorate_wb","ramallah","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.333333333333333,"governorate_wb","salfit","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.422532442169748,"governorate_wb","nablus","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.448783432309929,"governorate_wb","bethlehem","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.0192527985770031,"governorate_wb","hebron","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.972682592949716,"governorate_wb","tubas","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap5",0.1875,"governorate_wb","tulkarm","AAP","% HH not satisfied with aid worker behavior","% HH not satisfied with aid worker behavior"
"aap6",NA,"governorate_wb","nablus","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","qalqiliya","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","jericho","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","jerusalem_2","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","tubas","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","tulkarm","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","ramallah","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","salfit","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","bethlehem","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","hebron","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap6",NA,"governorate_wb","jenin","AAP","% of households reporting access barriers to aid as a result of the recent conflict in Gaza","% of households reporting access barriers to aid as a result of the recent conflict in Gaza"
"aap7_i",NA,"governorate_wb","nablus","AAP","% of households reporting type of humanitarian aid preferred in future distributions by type of aid","Do not want to receive humanitarian assistance"
