Indicator.Group.Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Sectoral food security severity scores,% of HHs with  sectoral food security score of 1,% of HHs with  sectoral severity food security score of 1,,,categorical,hno_severity_food_1,numerical,direct_reporting
Sectoral food security severity scores,% of HHs with  sectoral food security score of 2,% of HHs with  sectoral severity food security score of 2,,,categorical,hno_severity_food_2,numerical,direct_reporting
Sectoral food security severity scores,% of HHs with  sectoral food security score of 3,% of HHs with  sectoral severity food security score of 3,,,categorical,hno_severity_food_3,numerical,direct_reporting
Sectoral food security severity scores,% of HHs with  sectoral food security score of 4,% of HHs with  sectoral severity food security score of 4,,,categorical,hno_severity_food_4,numerical,direct_reporting
Sectoral food security severity scores,% of HHs with  sectoral food security score of 5,% of HHs with  sectoral severity food security score of 5,,,categorical,hno_severity_food_5,numerical,direct_reporting
Sectoral health severity scores,% of HHs with  sectoral health score of 1,% of HHs with  sectoral severity health score of 1,,,categorical,hno_severity_health_1,numerical,direct_reporting
Sectoral health severity scores,% of HHs with  sectoral health score of 2,% of HHs with  sectoral severity health score of 2,,,categorical,hno_severity_health_2,numerical,direct_reporting
Sectoral health severity scores,% of HHs with  sectoral health score of 3,% of HHs with  sectoral severity health score of 3,,,categorical,hno_severity_health_3,numerical,direct_reporting
Sectoral health severity scores,% of HHs with  sectoral health score of 4,% of HHs with  sectoral severity health score of 4,,,categorical,hno_severity_health_4,numerical,direct_reporting
Sectoral health severity scores,% of HHs with  sectoral health score of 5,% of HHs with  sectoral severity health score of 5,,,categorical,hno_severity_health_5,numerical,direct_reporting
Sectoral livelihood severity scores,% of HHs with  sectoral livelihood score of 1,% of HHs with  sectoral severity livelihood score of 1,,,categorical,hno_severity_livelihood_1,numerical,direct_reporting
Sectoral livelihood severity scores,% of HHs with  sectoral livelihood score of 2,% of HHs with  sectoral severity livelihood score of 2,,,categorical,hno_severity_livelihood_2,numerical,direct_reporting
Sectoral livelihood severity scores,% of HHs with  sectoral livelihood score of 3,% of HHs with  sectoral severity livelihood score of 3,,,categorical,hno_severity_livelihood_3,numerical,direct_reporting
Sectoral livelihood severity scores,% of HHs with  sectoral livelihood score of 4,% of HHs with  sectoral severity livelihood score of 4,,,categorical,hno_severity_livelihood_4,numerical,direct_reporting
Sectoral livelihood severity scores,% of HHs with  sectoral livelihood score of 5,% of HHs with  sectoral severity livelihood score of 5,,,categorical,hno_severity_livelihood_5,numerical,direct_reporting
Sectoral protection severity scores,% of HHs with  sectoral protection score of 1,% of HHs with  sectoral severity protection score of 1,,,categorical,hno_severity_protection_1,numerical,direct_reporting
Sectoral protection severity scores,% of HHs with  sectoral protection score of 2,% of HHs with  sectoral severity protection score of 2,,,categorical,hno_severity_protection_2,numerical,direct_reporting
Sectoral protection severity scores,% of HHs with  sectoral protection score of 3,% of HHs with  sectoral severity protection score of 3,,,categorical,hno_severity_protection_3,numerical,direct_reporting
Sectoral protection severity scores,% of HHs with  sectoral protection score of 4,% of HHs with  sectoral severity protection score of 4,,,categorical,hno_severity_protection_4,numerical,direct_reporting
Sectoral protection severity scores,% of HHs with  sectoral protection score of 5,% of HHs with  sectoral severity protection score of 5,,,categorical,hno_severity_protection_5,numerical,direct_reporting
Sectoral shelter severity scores,% of HHs with  sectoral shelter score of 1,% of HHs with  sectoral severity shelter score of 1,,,categorical,hno_severity_shelter_1,numerical,direct_reporting
Sectoral shelter severity scores,% of HHs with  sectoral shelter score of 2,% of HHs with  sectoral severity shelter score of 2,,,categorical,hno_severity_shelter_2,numerical,direct_reporting
Sectoral shelter severity scores,% of HHs with  sectoral shelter score of 3,% of HHs with  sectoral severity shelter score of 3,,,categorical,hno_severity_shelter_3,numerical,direct_reporting
Sectoral shelter severity scores,% of HHs with  sectoral shelter score of 4,% of HHs with  sectoral severity shelter score of 4,,,categorical,hno_severity_shelter_4,numerical,direct_reporting
Sectoral shelter severity scores,% of HHs with  sectoral shelter score of 5,% of HHs with  sectoral severity shelter score of 5,,,categorical,hno_severity_shelter_5,numerical,direct_reporting
Sectoral WASH severity scores,% of HHs with  sectoral wash score of 1,% of HHs with  sectoral severity wash score of 1,,,categorical,hno_severity_wash_1,numerical,direct_reporting
Sectoral WASH severity scores,% of HHs with  sectoral wash score of 2,% of HHs with  sectoral severity wash score of 2,,,categorical,hno_severity_wash_2,numerical,direct_reporting
Sectoral WASH severity scores,% of HHs with  sectoral wash score of 3,% of HHs with  sectoral severity wash score of 3,,,categorical,hno_severity_wash_3,numerical,direct_reporting
Sectoral WASH severity scores,% of HHs with  sectoral wash score of 4,% of HHs with  sectoral severity wash score of 4,,,categorical,hno_severity_wash_4,numerical,direct_reporting
Sectoral WASH severity scores,% of HHs with  sectoral wash score of 5,% of HHs with  sectoral severity wash score of 5,,,categorical,hno_severity_wash_5,numerical,direct_reporting
