Indicator.Group...Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,No medicine available at health facility / pharmacy,governorate_gaza,,,h3_viii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Lack of female health staff,governorate_gaza,,,h3_ix,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Did not get access to qualified health staff at the health facility,governorate_gaza,,,h3_x,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Quality of services could not meet the needs,governorate_gaza,,,h3_xi,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Socially/family-imposed barrier (e.g. family preventing from seeking health care),governorate_gaza,,,h3_xii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Awareness of how/where to access services,governorate_gaza,,,h3_xiii,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Refugee Status,governorate_gaza,,,h3_xiv,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Medical staff refused treatment without any explanation,governorate_gaza,,,h3_xv,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,No treatment available for my disease at the health facility,governorate_gaza,,,h3_xvi,numerical,direct_reporting
Health,% of HHs reporting access barriers when trying to access health services in the past 3 months by type of barrier,Health services not inclusive of people with disabilities,governorate_gaza,,,h3_xvii,numerical,direct_reporting
Health,% of HHs reporting that NOT all members in their household are willing to be vaccinated against COVID-19,% of HHs reporting that NOT all members in their household are willing to be vaccinated against COVID-19,governorate_gaza,,,h4,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Vaccine is not safe,governorate_gaza,,,h4_i,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Vaccine is not effective at preventing COVID,governorate_gaza,,,h4_ii,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Health conditions of certain family members preclude vaccination,governorate_gaza,,,h4_iii,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,COVID is not a threat to anyone in the household,governorate_gaza,,,h4_iv,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Want to wait and see effects as other people get vaccinated,governorate_gaza,,,h4_v,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Not aware of how to get vaccination,governorate_gaza,,,h4_vi,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Cannot afford vaccination,governorate_gaza,,,h4_vii,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Opposition to vaccines of any kind,governorate_gaza,,,h4_viii,numerical,direct_reporting
Health,% of HHs reporting that not all members in their household are willing to be vaccinated against COVID-19 by reason for not wanting to be vaccinated,Household member is too young to be vaccinated,governorate_gaza,,,h4_ix,numerical,direct_reporting
Health,% HH reporting at least one individual with a disability,% HH with at least one individual with a disability,governorate_gaza,,,hp1_a,numerical,direct_reporting
Health,% HH reporting at least one girl with a disability,% HH with at least one girl with a disability,governorate_gaza,,,hp1_b,numerical,direct_reporting
Health,% HH reporting at least one boy with a disability,% HH with at least one boy with a disability,governorate_gaza,,,hp1_c,numerical,direct_reporting
Health,% HH reporting at least one child with a disability,% HH with at least one child with a disability,governorate_gaza,,,hp1_d,numerical,direct_reporting
Health,% HH reporting that members are unable to access one or more services due to disability,% HH with members unable to access one or more services due to disability,governorate_gaza,,,hp7,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Cost of accessing service (e.g. transportation),governorate_gaza,,,hp8_i,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Distance,governorate_gaza,,,hp8_ii,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Cost of the service (e.g. school fees),governorate_gaza,,,hp8_iii,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Lack of specialized centers or staff within the governorate,governorate_gaza,,,hp8_iv,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Services not physically accessible,governorate_gaza,,,hp8_v,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Discrimination by service providers,governorate_gaza,,,hp8_vi,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Services provision not adapted to people with a disability,governorate_gaza,,,hp8_vii,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Movement restricted (or fully inhibited) at checkpoints,governorate_gaza,,,hp8_viii,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Information about services not accessible,governorate_gaza,,,hp8_ix,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Stigma in community,governorate_gaza,,,hp8_x,numerical,direct_reporting
Health,Primary reason why services are inaccesible to persons with disabilities ,Lack of access permit to Israel,governorate_gaza,,,hp8_xi,numerical,direct_reporting
Health,% of HH where at least one member is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one member is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp9,numerical,direct_reporting
Health,% of HH where at least one child is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one child is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp10,numerical,direct_reporting
Health,% of HH where at least one adult is reporting signs of psychosocial distress (self-diagnosed),% of HH where at least one adult is reporting signs of psychosocial distress (self-diagnosed),governorate_gaza,,,hp11,numerical,direct_reporting
Health,% of HHs reporting availability of PSS services in case of GBV,% of HHs reporting availability of PSS services in case of GBV,governorate_gaza,,,hp12,numerical,direct_reporting
Health,% of HHs reporting availability of PSS services in case of GBV by type of service,Legal services,governorate_gaza,,,hp12_i,numerical,direct_reporting
Health,% of HHs reporting availability of PSS services in case of GBV by type of service,Medical services,governorate_gaza,,,hp12_ii,numerical,direct_reporting
Health,% of HHs reporting availability of PSS services in case of GBV by type of service,Mental health and psychoscocial services,governorate_gaza,,,hp12_iii,numerical,direct_reporting
Health,% HH reporting that women and girls of reproductive age (15-49) have access to specialized reproductive health services,% HH where women and girls of reproductive age (15-49) have access to specialized reproductive health services,governorate_gaza,,,hp13,numerical,direct_reporting
WASH,% of households reporting access to an improved water source for drinking purposes,% of households with access to an improved water source for drinking purposes,governorate_gaza,,,w1,numerical,direct_reporting
WASH,% of households (in Gaza) whose primary drinking water source has reportedly changed as a result of the recent escalation,% of households (in Gaza) whose primary drinking water source has changed as a result of the recent escalation,governorate_gaza,,,w1a,numerical,direct_reporting
WASH,% of households who are using an improved water source for domestic purposes,% of households who are using an improved water source for domestic purposes,governorate_gaza,,,w2,numerical,direct_reporting
WASH,% of households with access to an improved sanitation facility,% of households with access to an improved sanitation facility,governorate_gaza,,,ws1,numerical,direct_reporting
WASH,% of households who are reportedly sharing their sanitation facilities with other households,% of households who are sharing their sanitation facilities with other households,governorate_gaza,,,ws1a,numerical,direct_reporting
WASH,"% of households reporting the availability of all listed sanitation items (toilet sear, bidet, niagara, handwashing station, soap, toilet paper)","% of households reporting the availability of all listed sanitation items (toilet sear, bidet, niagara, handwashing station, soap, toilet paper)",governorate_gaza,,,ws1b,numerical,direct_reporting
WASH,% of households who are reporting that their latrines are lockable from the inside,% of households who are reporting that their latrines are lockable from the inside,governorate_gaza,,,ws1c,numerical,direct_reporting
WASH,% of households by type of waste drainage system,It is connected to a communal lined drainage and to the sewage system,governorate_gaza,,,ws1b_i,numerical,direct_reporting
WASH,% of households by type of waste drainage system,A handdug hole in the ground,governorate_gaza,,,ws1b_ii,numerical,direct_reporting
WASH,% of households by type of waste drainage system,Covered and lined septic tank/cesspool,governorate_gaza,,,ws1b_iii,numerical,direct_reporting
WASH,% of households by type of waste drainage system,It drains into an open area ourside of the shelter and remains stagnant,governorate_gaza,,,ws1b_iv,numerical,direct_reporting
WASH,% of households reporting to have access to a sufficient quantity of water for drinking and domestic purposes,% of households with access to a sufficient quantity of water for drinking and domestic purposes,governorate_gaza,,,w3,numerical,direct_reporting
WASH,% of households reporting to have access to a sufficient quantity of water for drinking  purposes,% of households with access to a sufficient quantity of water for drinking  purposes,governorate_gaza,,,w3a,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water,% of households reporting relying on coping strategies to adapt to a lack of water,governorate_gaza,,,w4,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,No coping strategies used/needed,governorate_gaza,,,w4_i,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Spend money usually spent on other things to buy water,governorate_gaza,,,w4_ii,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Receive water on credit/borrow water,governorate_gaza,,,w4_iii,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Rely on drinking water stored previously,governorate_gaza,,,w4_iv,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Reduce drinking water consumption,governorate_gaza,,,w4_v,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Modify hygiene practices (bath less etc.),governorate_gaza,,,w4_vi,numerical,direct_reporting
WASH,% of households reporting relying on coping strategies to adapt to a lack of water by type of coping strategy,Drink water usually used for cleaning or other purposes than drinking,governorate_gaza,,,w4_vii,numerical,direct_reporting
WASH,% of households reporting to be affected by floods,% of households affected by floods,governorate_gaza,,,w9,numerical,direct_reporting
WASH,% of households reporting that their daily activities have been affected by floods,% of households whose daily activities have been affected by floods,governorate_gaza,,,w9_a,numerical,direct_reporting
WASH,% of households reporting that their shelter has been affected by floods (as a percentage of those households who have experienced floods,% of households whose shelter has been affected by floods (as a percentage of those households who have experienced floods,governorate_gaza,,,w9_b,numerical,direct_reporting
WASH,% of households covered by solid waste services of households,% of households covered by solid waste services of households,governorate_gaza,,,w10,numerical,direct_reporting
WASH,% of households reporting waste accumulation for more than 3 days in their area,% of households reporting waste accumulation for more than 3 days in their area,governorate_gaza,,,w11,numerical,direct_reporting
Shelter,% of households living in critical shelter,% of households living in critical shelter,governorate_gaza,,,s1,numerical,direct_reporting
Shelter,% of households reporting that at least one member is sleeping in the living room,% of households where at least one member is sleeping in the living room,governorate_gaza,,,s2_a,numerical,direct_reporting
Shelter,Average number of household members per room,Average number of household members per room,governorate_gaza,,,s2,numerical,direct_reporting
Shelter,% of households by occupancy status,Ownership,governorate_gaza,,,sp1_i,numerical,direct_reporting
Shelter,% of households by occupancy status,Rented,governorate_gaza,,,sp1_ii,numerical,direct_reporting
Shelter,% of households by occupancy status,"Hosted without rent (by family, friends, institution)",governorate_gaza,,,sp1_iii,numerical,direct_reporting
Shelter,% of households by occupancy status,No occupancy agreement / squatting,governorate_gaza,,,sp1_iv,numerical,direct_reporting
Shelter,% of households reporting risk of eviction,% of households reporting risk of eviction,governorate_gaza,,,sp2,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Authorities requested our household to leave,governorate_gaza,,,sp3_i,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Lack of funds to pay rental costs,governorate_gaza,,,sp3_ii,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Host family no longer able to host our family,governorate_gaza,,,sp3_iii,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Local community does not accept our family living in the area,governorate_gaza,,,sp3_iv,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Request to vacate from owner of building/land,governorate_gaza,,,sp3_v,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,No valid tenancy agreement,governorate_gaza,,,sp3_vi,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Inadequate housing / shelter condition,governorate_gaza,,,sp3_vii,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Housing occupied by other groups,governorate_gaza,,,sp3_viii,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Risk of property being confiscated,governorate_gaza,,,sp3_ix,numerical,direct_reporting
Shelter,% of households reporting risk of eviction by reason,Ownership of property is disputed,governorate_gaza,,,sp3_x,numerical,direct_reporting
Shelter,% of households reporting that their shelter has any kind of damage or defects,% of households whose shelter has any kind of damage or defects,governorate_gaza,,,s3,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days,governorate_gaza,,,sp4,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Disrupting sleep or daily life/activities,governorate_gaza,,,sp4_i,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Menacing behavior (e.g. threats, pointing of weaponry, firing weaponry)",governorate_gaza,,,sp4_ii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Verbal abuse or harm,governorate_gaza,,,sp4_iii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Sexual harassment or abuse,governorate_gaza,,,sp4_iv,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Obstructed travel to or from shelter,governorate_gaza,,,sp4_v,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Obstructed access to areas in your vicinity (e.g. farm or pasture land),governorate_gaza,,,sp4_vi,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Physical violence (e.g. stone throwing, beating, shooting)",governorate_gaza,,,sp4_vii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Damage (inc. vandalism) or destruction of personal property (non-shelter related) (e.g. vehicles),governorate_gaza,,,sp4_viii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Damage (inc. vandalism) or destruction of shelters,governorate_gaza,,,sp4_ix,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),"Damage or destruction of livelihood/economic resources (e.g. trees, herds, barns, cisterns/water networks)",governorate_gaza,,,sp4_x,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Theft of personal property,governorate_gaza,,,sp4_xi,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Occupation of all or part of shelter,governorate_gaza,,,sp4_xii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Forced eviction,governorate_gaza,,,sp4_xiii,numerical,direct_reporting
Shelter,% of households that report having experienced threats or violent/destructive acts by non-Palestinian communities in their area in the past 30 days by type of threat (as a percentage of those households who have experienced threats/violence),Detention,governorate_gaza,,,sp4_xiv,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area,governorate_gaza,,,p1,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,"Changed livelihood behaviors (e.g. not grazed flocks, planted, harvested in dangerous areas)",governorate_gaza,,,p1_i,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,None,governorate_gaza,,,p1_ii,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld children from school,governorate_gaza,,,p1_iii,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld children from travel,governorate_gaza,,,p1_iv,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Withheld adult family members from travel,governorate_gaza,,,p1_v,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,"Added security or protection measures (e.g. alarms, lights, locks, community watch)",governorate_gaza,,,p1_vi,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Moved property to safer location,governorate_gaza,,,p1_vii,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Sent children to live elsewhere on at least one occasion,governorate_gaza,,,p1_viii,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Sent adult family members to live elsewhere on at least one occasion,governorate_gaza,,,p1_ix,numerical,direct_reporting
Shelter,% of households adopting coping strategies in the last 30 days to avoid threats or violent/destructive acts by non-Palestinian communities living in their area by type of coping strategy,Entire household has moved from a certain area on at least one occasion,governorate_gaza,,,p1_x,numerical,direct_reporting
Education,% of households with school-aged children that are currently enrolled in basic or secondary education,% of households with school-aged children that are currently enrolled in basic or secondary education,governorate_gaza,,,e1,numerical,direct_reporting
Education,% of households with school-aged children (who were previously attending school) who are continuing teaching and learning activities remotely,% of households with school-aged children (who were previously attending school) who are continuing teaching and learning activities remotely,governorate_gaza,,,e2,numerical,direct_reporting
Education,"% of households with school-aged children, where at least one child reportedly dropped out of school during the current school year","% of households with school-aged children, where at least one child dropped out of school during the current school year",governorate_gaza,,,e4,numerical,direct_reporting
Education,% of households with a least one child with a disability that is not attending school,% of households with a least one child with a disability that is not attending school,governorate_gaza,,,e5,numerical,direct_reporting
Education,% of households with children with a disability reporting challenges to accessing education services,% of households with children with a disability reporting challenges to accessing education services,governorate_gaza,,,e6,numerical,direct_reporting
Education,% of households reporting being in need of catch-up learning programmes,% of households that are in need of catch-up learning programmes,governorate_gaza,,,e7,numerical,direct_reporting
Education,% of households in Gaza that are reporting NOT planning to enroll all school-aged children at the start of the next school year,% of households in Gaza that are NOT planning to enroll all school-aged children at the start of the next school year,governorate_gaza,,,e8,numerical,direct_reporting
Education,% of households reporting the availability of PSS services in schools,% of households reporting the availability of PSS services in schools,governorate_gaza,,,ep1,numerical,direct_reporting
Education,% of households reporting the availability of PSS services in school by type of service,Trained counsellors available,governorate_gaza,,,ep1_i,numerical,direct_reporting
Education,% of households reporting the availability of PSS services in school by type of service,Teachers trained in PSS available,governorate_gaza,,,ep1_ii,numerical,direct_reporting
Education,% of households reporting the availability of PSS services in school by type of service,Information on external PSS services,governorate_gaza,,,ep1_iii,numerical,direct_reporting
Education,% of households reporting barriers to accessing education,% of households reporting barriers to accessing education,governorate_gaza,,,ep2,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,School stopped functioning and is now closed,governorate_gaza,,,ep2_i,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Going to or attending school is not safe for girls,governorate_gaza,,,ep2_ii,numerical,direct_reporting
Education,% of households reporting barriers to school by type of barriers,Going to or attending school is not safe for boys,governorate_gaza,,,ep2_iii,numerical,direct_reporting
