X_uuid;difficulty_sex;difficulty_age;difficulty_seeing;difficulty_hearing;difficulty_walking;difficulty_remembering;difficulty_washing;difficulty_communicating
07f03a8d-6b4d-4e5a-aa7f-0b8b44a7cd76;male;63;a_lot_of_difficulty;;a_lot_of_difficulty;;some_difficulty;
37013e18-82af-48ca-935d-f864171dfd36;male;20;;;some_difficulty;;;
85e1fdbd-22d1-4fd8-a2da-3afc921934a0;female;82;some_difficulty;some_difficulty;some_difficulty;;;
f60b1439-a265-4f25-9b92-c6cb25d89a73;male;9;;;cannot_do_at_all;cannot_do_at_all;cannot_do_at_all;a_lot_of_difficulty
6ba94cb0-8236-44e4-b537-defb77e02106;female;56;;;a_lot_of_difficulty;;;
cd7469de-cac5-4f18-a1e8-e21ae6008784;male;61;;;a_lot_of_difficulty;;;
b92166f8-6783-4cae-bb31-fdd955bbc820;female;80;some_difficulty;some_difficulty;a_lot_of_difficulty;;;
96ef5008-b089-406d-a239-9c8e976c1c9c;female;77;some_difficulty;;;a_lot_of_difficulty;;
becbf120-a8ad-4ef2-b066-0cfa8512cc5c;male;70;some_difficulty;a_lot_of_difficulty;some_difficulty;;some_difficulty;
1b1ed776-e0ca-46c2-bb28-14fed1d9f733;female;89;some_difficulty;cannot_do_at_all;some_difficulty;;some_difficulty;
95b26945-5683-4db9-a834-b5558df55c16;male;25;cannot_do_at_all;;;;;
1c7466af-47a1-430b-9731-a2e1d4304ef4;female;11;;;;some_difficulty;;
bd7d641d-84cf-49df-955c-b4a5a40a1b87;male;51;some_difficulty;some_difficulty;;;;
5f8c9fe4-6e56-4101-9115-0864a8b6a57b;male;62;;some_difficulty;;;;
cd9d7308-76bd-4cd2-890d-8ea7ef62bd6d;female;34;some_difficulty;;;;;
b91eb9e8-b9ce-45db-a8bc-412c0120c857;female;28;;;;a_lot_of_difficulty;a_lot_of_difficulty;a_lot_of_difficulty
3be67b45-4fe1-45d7-9cfe-e45e4911d53f;male;78;;;some_difficulty;;;no_difficulty
3be67b45-4fe1-45d7-9cfe-e45e4911d53f;female;2;;;;;;
10989217-9092-4f8c-88af-274ddb5ef72c;male;44;;;a_lot_of_difficulty;;;
7d7c90f5-0931-4e03-ae25-08c2fc221f29;female;86;;some_difficulty;a_lot_of_difficulty;some_difficulty;a_lot_of_difficulty;
61a1d91d-1683-4a20-ba01-f342d085dbbf;male;10;a_lot_of_difficulty;;;;;
8cf53558-c8ad-4656-b058-18c829c29e27;male;51;some_difficulty;some_difficulty;;;;
31738845-8f4e-445b-9586-28609b7b642e;female;43;;some_difficulty;;;;
31738845-8f4e-445b-9586-28609b7b642e;male;45;;some_difficulty;;;;
b7b468c3-8e80-4613-806c-bcea3a32bc0e;female;50;;;some_difficulty;;;
b7b468c3-8e80-4613-806c-bcea3a32bc0e;female;45;;;some_difficulty;;;
b7b468c3-8e80-4613-806c-bcea3a32bc0e;female;43;;;some_difficulty;;;
ddecbd2b-abff-4d75-85a9-9ba87733ba31;male;60;;;some_difficulty;;;
67f4607b-b077-44d3-8cfe-3ea1fa119a27;male;77;;a_lot_of_difficulty;a_lot_of_difficulty;no_difficulty;no_difficulty;
67f4607b-b077-44d3-8cfe-3ea1fa119a27;female;75;;no_difficulty;cannot_do_at_all;a_lot_of_difficulty;cannot_do_at_all;
cb0ef6c7-5adb-4451-ae8e-22cc2c23d3b0;male;26;;;some_difficulty;;;
7a30afcb-1513-46f6-bc2f-02a2b1f1ffee;female;84;;;some_difficulty;;;
2539d990-7465-4d2a-80a4-475b8eb3a137;male;14;some_difficulty;;;;;
b37bbbb3-ba97-461b-9059-a1b67141e138;female;65;;;cannot_do_at_all;;cannot_do_at_all;a_lot_of_difficulty
860d2e8c-f7a2-4bcc-b196-d9c2e6d2d819;female;11;some_difficulty;;;;;
f53bfe6e-da9f-4887-a327-2790dcc9c4ed;male;88;cannot_do_at_all;;cannot_do_at_all;;;no_difficulty
f53bfe6e-da9f-4887-a327-2790dcc9c4ed;female;51;no_difficulty;;some_difficulty;;;no_difficulty
24c2bf0c-2d39-42fd-9a6f-b48b1f540b96;female;88;a_lot_of_difficulty;;a_lot_of_difficulty;a_lot_of_difficulty;cannot_do_at_all;a_lot_of_difficulty
ff162963-8b77-4f98-9a6d-c9c3bb10d44e;female;28;some_difficulty;;;;;
693cd13f-02a0-411a-a898-01cfd6ae2ea5;female;14;;;;some_difficulty;;
4970f47b-deca-4e77-adda-bea4989d3e08;female;52;;;some_difficulty;;;
dd137f5d-fd37-4c6d-b9b6-b1e20173743a;female;70;;;cannot_do_at_all;;cannot_do_at_all;
42500385-0bbd-4250-8072-fdea2180239e;female;12;a_lot_of_difficulty;;;;;
8ff719a2-3347-4eef-bc1b-98df241ef27c;male;90;no_difficulty;some_difficulty;cannot_do_at_all;;cannot_do_at_all;
8ff719a2-3347-4eef-bc1b-98df241ef27c;female;70;a_lot_of_difficulty;no_difficulty;a_lot_of_difficulty;;a_lot_of_difficulty;
19989ec1-a9df-4f48-95ec-fa04ff988c6f;male;40;a_lot_of_difficulty;;;some_difficulty;;
68bacece-25fa-475b-bd98-4968ef64ebb9;male;29;;;;;;some_difficulty
4b19622d-9a27-4855-a974-df104fc65832;male;43;;some_difficulty;;;;
e8a83a6f-cfe7-42b6-bc86-065bf97a5d21;female;12;;;some_difficulty;;;
afc9a4b4-ec17-405c-9e18-15c3a5f63d63;male;8;some_difficulty;;no_difficulty;some_difficulty;;some_difficulty
afc9a4b4-ec17-405c-9e18-15c3a5f63d63;female;60;some_difficulty;;some_difficulty;no_difficulty;;no_difficulty
f7099a1d-b270-47c0-b721-6035b0c41308;male;11;;;;;;some_difficulty
fea05890-aa1a-45ec-8815-12c6ebd21843;male;14;;;some_difficulty;;;
0efd82b2-6cbf-4cdc-85bc-10117b8f1fdc;male;56;;;a_lot_of_difficulty;;;
892de175-1b08-485c-8a80-6e3402ea33d5;female;83;some_difficulty;;a_lot_of_difficulty;;;
5a3f32dd-d8f3-4696-9611-643ad4ffefe5;male;43;;;some_difficulty;;;
164002b7-eada-424a-a061-523616635dc9;female;16;;some_difficulty;;;;
b88519a9-45d5-443a-8e42-f0a420a8990e;male;84;a_lot_of_difficulty;;;;;
2609483d-6c94-4ecf-a029-007b8ed4cefa;male;78;;;some_difficulty;;;
b599c0bd-faa7-404b-a13e-111fef1dded8;female;56;;;some_difficulty;;;
612607dc-7896-4b2a-b1dd-ad63d63f137e;female;27;;cannot_do_at_all;;;;
612607dc-7896-4b2a-b1dd-ad63d63f137e;male;27;;cannot_do_at_all;;;;
45f3efca-0a81-47a2-a5a8-c07478213c8c;male;12;some_difficulty;no_difficulty;;a_lot_of_difficulty;some_difficulty;
45f3efca-0a81-47a2-a5a8-c07478213c8c;female;9;some_difficulty;no_difficulty;;a_lot_of_difficulty;some_difficulty;
9353941b-66e2-478c-b4c9-b26ac4607c87;male;79;some_difficulty;;no_difficulty;;no_difficulty;no_difficulty
9353941b-66e2-478c-b4c9-b26ac4607c87;female;85;no_difficulty;;some_difficulty;;some_difficulty;no_difficulty
9353941b-66e2-478c-b4c9-b26ac4607c87;female;75;no_difficulty;;a_lot_of_difficulty;;some_difficulty;no_difficulty
9353941b-66e2-478c-b4c9-b26ac4607c87;male;35;no_difficulty;;cannot_do_at_all;;cannot_do_at_all;a_lot_of_difficulty
689b61e9-4f43-426c-a054-c85667130f4e;female;47;a_lot_of_difficulty;;a_lot_of_difficulty;a_lot_of_difficulty;a_lot_of_difficulty;a_lot_of_difficulty
7c6ab7fb-7371-4ad1-948e-9afc30163436;male;58;;;a_lot_of_difficulty;;a_lot_of_difficulty;
1170138e-d73e-46be-aab1-d63aea648156;male;71;;some_difficulty;some_difficulty;some_difficulty;;
1170138e-d73e-46be-aab1-d63aea648156;female;62;;no_difficulty;some_difficulty;no_difficulty;;
529e46ec-8658-4e1c-b93b-70dfa54fb137;male;11;a_lot_of_difficulty;;;;;
6ee95114-8461-4bd4-aa79-5cfaa36419dd;female;67;some_difficulty;;;;;
014440fb-0d5c-4f6d-b96c-1bd02658b292;male;27;some_difficulty;;no_difficulty;no_difficulty;;no_difficulty
014440fb-0d5c-4f6d-b96c-1bd02658b292;female;49;no_difficulty;;a_lot_of_difficulty;no_difficulty;;no_difficulty
014440fb-0d5c-4f6d-b96c-1bd02658b292;female;19;no_difficulty;;no_difficulty;some_difficulty;;some_difficulty
b419073d-e3ae-440f-b3c3-d7941e2b624b;male;74;;cannot_do_at_all;no_difficulty;;;
b419073d-e3ae-440f-b3c3-d7941e2b624b;female;52;;no_difficulty;a_lot_of_difficulty;;;
08245d68-aa42-458f-bc68-1b345d394808;male;23;a_lot_of_difficulty;;;;;
5d1aae7b-251b-49c0-89fe-983499aa0b77;male;83;a_lot_of_difficulty;;a_lot_of_difficulty;;;
190115fc-b37e-4377-b770-7c1f4fc4e4b5;male;60;a_lot_of_difficulty;some_difficulty;a_lot_of_difficulty;;some_difficulty;
190115fc-b37e-4377-b770-7c1f4fc4e4b5;male;60;no_difficulty;no_difficulty;some_difficulty;;no_difficulty;
a21f00dc-034f-4240-9e1b-15ea77265aab;male;18;;some_difficulty;;;;
ba0b2f46-2cf9-4d27-8633-7e16f9c9ef05;female;9;;;some_difficulty;;a_lot_of_difficulty;some_difficulty
5a302ddf-33f0-4c46-86bb-2234011460fd;male;59;;;some_difficulty;;;
9254c8be-3d99-4c33-a231-ed076e89be5c;female;11;some_difficulty;;;;;
de955bda-8453-4c65-87fa-ad49d7342437;male;61;a_lot_of_difficulty;a_lot_of_difficulty;;;;
469e1a23-b247-4dbd-8b1f-456ffdcbc2e9;female;26;;;some_difficulty;;;
6e05011e-a6e6-4ae7-84d2-70a93a728d9c;female;30;no_difficulty;;;some_difficulty;;
6e05011e-a6e6-4ae7-84d2-70a93a728d9c;male;43;some_difficulty;;;some_difficulty;;
ad4415f8-de52-471f-9f19-e8fef0e172ef;female;52;;;some_difficulty;;;
9a46df0f-d1a7-41ef-b4f6-097449bd5d9b;female;38;;;some_difficulty;;;
f2f5d782-15ee-47b5-9574-ce0fe92d13f4;male;45;;;some_difficulty;;;
71209923-1869-4ac3-ad40-97d30202eeb3;male;18;;;some_difficulty;;;
4e6707af-8961-46f2-a973-5cd898dd57e3;male;30;;;;some_difficulty;no_difficulty;some_difficulty
87c6606d-860c-40f4-b7e4-bbdec79f8b76;male;59;a_lot_of_difficulty;;some_difficulty;;;
87c6606d-860c-40f4-b7e4-bbdec79f8b76;male;19;a_lot_of_difficulty;;no_difficulty;;;
94425afc-d641-4ba2-be16-cc84454a74c1;male;60;a_lot_of_difficulty;;some_difficulty;;;
5fa8fc30-b94e-421f-8005-82184bbbe483;male;86;;;some_difficulty;;;
f7bc39cb-3e4f-47a4-822b-4bde435f5d63;male;59;;;a_lot_of_difficulty;;;
f8723c16-2d1b-43b6-beed-428886411aab;female;20;;;some_difficulty;cannot_do_at_all;cannot_do_at_all;cannot_do_at_all
726b5956-0b33-41b0-8a8d-b699cb37647d;female;82;some_difficulty;a_lot_of_difficulty;a_lot_of_difficulty;some_difficulty;some_difficulty;
87057605-a6bf-424b-9d2a-dfe99a830c8b;male;41;some_difficulty;;;;;
fa4cee68-3556-4dc2-9959-6cc730bff87f;female;16;;;a_lot_of_difficulty;;;
350e4990-dbcf-4f74-8dff-5061bd331821;male;54;some_difficulty;;;;;
350e4990-dbcf-4f74-8dff-5061bd331821;male;18;some_difficulty;;;;;
aeb189e3-80fa-4d28-9424-c20b4a8c2a97;male;73;cannot_do_at_all;some_difficulty;no_difficulty;;;
aeb189e3-80fa-4d28-9424-c20b4a8c2a97;female;64;no_difficulty;no_difficulty;a_lot_of_difficulty;;;
d9ac3905-a7d5-476a-b84d-b9b77d33c3bc;male;35;;;a_lot_of_difficulty;;;
5fb629b3-e05c-4b15-9f79-d8eeeff154ca;female;95;some_difficulty;some_difficulty;a_lot_of_difficulty;;a_lot_of_difficulty;
5fb629b3-e05c-4b15-9f79-d8eeeff154ca;female;44;some_difficulty;no_difficulty;no_difficulty;;no_difficulty;
93bde17d-1e39-4ed3-be28-98fadc00ed11;male;29;some_difficulty;;;;;
a6f42080-d51b-4207-a4e6-f64b7146ec39;male;59;;;a_lot_of_difficulty;;;
be2a3cf2-4d32-4082-96a7-ba8aa9704670;male;67;some_difficulty;;a_lot_of_difficulty;;some_difficulty;
be2a3cf2-4d32-4082-96a7-ba8aa9704670;female;69;a_lot_of_difficulty;;some_difficulty;;some_difficulty;
e5c6fab0-50ef-4d5a-944f-84ba5d7561af;female;57;;a_lot_of_difficulty;;;;
5bdb06eb-6c1c-423b-bebb-3d2e2b8b4650;male;58;a_lot_of_difficulty;;no_difficulty;;no_difficulty;
5bdb06eb-6c1c-423b-bebb-3d2e2b8b4650;female;75;cannot_do_at_all;;a_lot_of_difficulty;;a_lot_of_difficulty;
9a5f4c5b-027a-41b5-b3df-2b97af862c45;male;45;no_difficulty;;;;;
f9707844-11a6-467d-b81b-52bca5374ecd;male;6;;some_difficulty;;no_difficulty;;
9d8d8a1c-e622-4090-9c05-9826209c73e6;female;62;;;a_lot_of_difficulty;;;no_difficulty
9d8d8a1c-e622-4090-9c05-9826209c73e6;male;40;;;no_difficulty;;;a_lot_of_difficulty
3c847e18-8280-4beb-aa27-7b07e783b28a;female;29;some_difficulty;;no_difficulty;;;
3c847e18-8280-4beb-aa27-7b07e783b28a;female;5;some_difficulty;;some_difficulty;;;
db7737f6-0f56-4457-9be5-868adb1495a0;male;59;;;;;some_difficulty;
640cac7c-e30b-452f-afe7-35ee97e03990;male;48;some_difficulty;some_difficulty;some_difficulty;;;
640cac7c-e30b-452f-afe7-35ee97e03990;female;46;some_difficulty;no_difficulty;no_difficulty;;;
8562b0f8-487e-44cd-be79-144d76b82009;female;39;some_difficulty;;;;;
4edd268f-07d4-4d86-b388-7798be791e21;male;42;some_difficulty;;;;;
4edd268f-07d4-4d86-b388-7798be791e21;male;32;a_lot_of_difficulty;;;;;
4edd268f-07d4-4d86-b388-7798be791e21;female;3;;;;;;
b37048d6-ef46-4c8d-97f4-c2c4977d2688;male;58;;;some_difficulty;;;
5e43f61b-8b9b-4e9d-ab38-06198bb84969;female;73;;;some_difficulty;;;
19a5d58f-ec0e-4954-bb83-78ff161d7640;male;60;some_difficulty;some_difficulty;;;;
19a5d58f-ec0e-4954-bb83-78ff161d7640;female;47;some_difficulty;no_difficulty;;;;
d02fe60b-11e8-4c64-9b37-c1632e175da2;male;26;no_difficulty;;;some_difficulty;;
d02fe60b-11e8-4c64-9b37-c1632e175da2;female;22;some_difficulty;;;no_difficulty;;
691e6aea-b327-4ddb-9578-d17a571c65db;female;14;;a_lot_of_difficulty;;;;
3fc01300-fae8-46a2-96a3-7cedfff5297f;female;58;;;some_difficulty;;;
4e81f92d-a916-4c79-8d45-09d9f5cddf79;female;56;some_difficulty;;some_difficulty;;;
4e81f92d-a916-4c79-8d45-09d9f5cddf79;female;32;some_difficulty;;no_difficulty;;;
4e81f92d-a916-4c79-8d45-09d9f5cddf79;female;26;some_difficulty;;no_difficulty;;;
01356165-af1d-4f25-a75e-69aa1f147c4f;female;46;;;some_difficulty;;;
1af32ebe-4dce-418c-a8f2-235071161789;female;72;;a_lot_of_difficulty;a_lot_of_difficulty;;;
a5640d95-9936-4266-aff0-5e20d3ab5997;female;55;;;cannot_do_at_all;;;
406cddf4-10cb-4d3e-8ad7-bb7057c5756b;male;23;some_difficulty;;;;;
9415cf23-66c7-4462-af6a-beb80b05856c;male;52;some_difficulty;no_difficulty;;;;
9415cf23-66c7-4462-af6a-beb80b05856c;female;47;no_difficulty;some_difficulty;;;;
9d9e9ee0-1539-48b8-b778-3ec0480757cb;female;43;some_difficulty;some_difficulty;;;;
1e266da6-7422-41e0-adb7-c02f3fdcc0dd;female;33;some_difficulty;;;;;
cb90e852-85c3-4578-97bd-467395cd2c3e;male;42;;;a_lot_of_difficulty;;;
d78f1a73-4c89-4450-b5db-d1c01a8f22d4;male;38;some_difficulty;;some_difficulty;;;
d4068ee4-ba71-49cb-9f63-31cc0e8c20e7;female;46;no_difficulty;a_lot_of_difficulty;;;;
d4068ee4-ba71-49cb-9f63-31cc0e8c20e7;male;71;some_difficulty;a_lot_of_difficulty;;;;
d4068ee4-ba71-49cb-9f63-31cc0e8c20e7;male;40;a_lot_of_difficulty;no_difficulty;;;;
d4068ee4-ba71-49cb-9f63-31cc0e8c20e7;female;31;a_lot_of_difficulty;no_difficulty;;;;
222eb743-a909-48f8-94f7-4f551adeeacf;male;58;a_lot_of_difficulty;;a_lot_of_difficulty;;;
372df999-58ba-4ef7-a671-33c81de46780;female;33;;;;some_difficulty;;some_difficulty
5fab04a6-4bbe-4182-a336-02f9c7f21df6;male;18;some_difficulty;no_difficulty;;;;
5fab04a6-4bbe-4182-a336-02f9c7f21df6;male;6;some_difficulty;some_difficulty;;;;
bcf9dc23-f5b4-41c9-b193-7f207a0340e0;female;6;;cannot_do_at_all;;;;
947b0544-e4ab-4aec-b7d7-edc6cbf4b94d;female;2;;;;;;
99537afb-642a-4176-8534-82db616bdbde;female;34;;;a_lot_of_difficulty;;;
4501f29d-2be4-426f-be94-b29b15ad954a;male;61;;some_difficulty;;;;
c32e6cd7-ce38-41fa-a0fe-3d06c19fe3ba;female;80;a_lot_of_difficulty;;;a_lot_of_difficulty;a_lot_of_difficulty;
8a996156-17fd-42e7-8e35-2959d1299971;male;66;;;a_lot_of_difficulty;;;
5127176d-2290-4327-9f5d-bf4f06e8b86e;female;75;;;a_lot_of_difficulty;;;
ca472fef-9282-49c9-8b34-e71563de3c99;male;11;;;some_difficulty;;;
0e1a476d-9ffd-4ef1-8814-c961081b360d;female;60;some_difficulty;;a_lot_of_difficulty;;;
0aa7453b-e6d5-4aa5-9d21-4e83b1714839;female;60;;;a_lot_of_difficulty;;some_difficulty;
643f2fb3-fc0d-4616-bf58-dd20e6df112f;male;18;;a_lot_of_difficulty;;;;
8dcf045c-1792-4564-a613-2383f679c421;male;61;a_lot_of_difficulty;;;;;
8dcf045c-1792-4564-a613-2383f679c421;female;49;a_lot_of_difficulty;;;;;
8dcf045c-1792-4564-a613-2383f679c421;female;23;some_difficulty;;;;;
8dcf045c-1792-4564-a613-2383f679c421;male;11;some_difficulty;;;;;
0d9e7140-624e-4cbc-bec2-13c763859496;male;27;;;some_difficulty;;;
095cd738-d172-4f31-a8fe-7707a05a20ca;male;15;;some_difficulty;;;;
65cfafb8-8f3f-434b-b3d5-a37094729845;male;73;;some_difficulty;;;;
a756ee3b-9bfe-4cc3-96a6-a4298666c17b;male;64;some_difficulty;;some_difficulty;;;
aeba8dc2-2d96-4e81-aee6-bb9c98c23fc9;female;72;some_difficulty;some_difficulty;some_difficulty;some_difficulty;;some_difficulty
aeba8dc2-2d96-4e81-aee6-bb9c98c23fc9;male;71;some_difficulty;a_lot_of_difficulty;a_lot_of_difficulty;some_difficulty;;some_difficulty
e77a3860-e1ad-41a7-91b1-8e816215516e;male;5;a_lot_of_difficulty;;;;;
5afac515-49cf-4167-a223-b7e974c55ad6;female;23;some_difficulty;;no_difficulty;;;
5afac515-49cf-4167-a223-b7e974c55ad6;female;54;some_difficulty;;some_difficulty;;;
28fcbd19-05c9-4d53-89e7-101c3f27a8b0;male;24;;;;;;some_difficulty
3251be91-3abd-4a8e-a18b-2d5eb7fd2c54;male;83;a_lot_of_difficulty;;a_lot_of_difficulty;;;
3251be91-3abd-4a8e-a18b-2d5eb7fd2c54;female;76;a_lot_of_difficulty;;some_difficulty;;;
6b29dd31-7247-4063-92ec-e7e5607186b9;male;17;;some_difficulty;;;;
6b29dd31-7247-4063-92ec-e7e5607186b9;male;13;;some_difficulty;;;;
14eeff33-d497-46a2-b8a5-582792895bfb;male;69;;;some_difficulty;;;
65edd89e-3989-4bb3-bbce-e83ad9fbdc3c;female;64;;;some_difficulty;;;
5c1c1e9d-d495-4de6-9fee-43f2c12c6ed7;male;76;;;;;a_lot_of_difficulty;
1834414c-7aa3-4747-bc71-5aa579ece836;male;60;some_difficulty;some_difficulty;;;;
4b75bf6a-4a62-466c-a2f6-3425db65a506;male;69;;;some_difficulty;;;
009961fa-76aa-4a47-aa9b-6af8275e0b5a;female;57;;;a_lot_of_difficulty;;;
24f55348-cad5-4187-91c5-ae6e3c561d81;female;64;;;some_difficulty;;;
073499b8-8086-4b60-9f08-b39ee6592798;male;4;;;;;;
bdd68043-f382-4c66-931f-be9188c2654e;female;68;cannot_do_at_all;;cannot_do_at_all;;;
bb0824c4-67b3-48aa-a974-401eb4ac99ed;male;60;some_difficulty;;;;;
c87832de-7a7b-4d79-961b-6c412a4a0ef4;female;18;no_difficulty;;;;;
c87832de-7a7b-4d79-961b-6c412a4a0ef4;female;12;no_difficulty;;;;;
c87832de-7a7b-4d79-961b-6c412a4a0ef4;male;25;no_difficulty;;;;;
e0fa7da9-9abe-4bfb-a210-a93d4c48c51c;female;49;some_difficulty;;;;;
be6b1058-38bd-4b22-b33f-e9fe1cabbb10;female;34;no_difficulty;some_difficulty;;;;
be6b1058-38bd-4b22-b33f-e9fe1cabbb10;female;18;some_difficulty;no_difficulty;;;;
f6396c97-c10a-4b43-b903-83abbb4797bf;female;29;cannot_do_at_all;;;;;
fd82c298-a98d-42c3-b7b3-302596f2e531;female;47;some_difficulty;;;;;
8f0c0322-48e7-49c4-a43e-7d5153857e8b;male;81;some_difficulty;some_difficulty;some_difficulty;;;
8f0c0322-48e7-49c4-a43e-7d5153857e8b;female;74;some_difficulty;no_difficulty;some_difficulty;;;
0f29429a-f44c-4e4f-b1f6-321cb74cc715;male;55;;no_difficulty;some_difficulty;;;
0f29429a-f44c-4e4f-b1f6-321cb74cc715;female;55;;some_difficulty;some_difficulty;;;
fe9e7eb6-6066-439f-911c-19aa7167eb6f;female;55;some_difficulty;;;;;
8bb2cfec-8981-4a0c-b4b8-550753c06694;female;22;;;cannot_do_at_all;;;
1aec5821-17ee-41ad-b61b-a629290084f4;male;17;;;a_lot_of_difficulty;;a_lot_of_difficulty;
bf826afb-7b81-4e72-ab82-c15f89a828c4;male;46;;;a_lot_of_difficulty;;;
88f1df9f-e810-4ae2-8537-3c3a27c01194;female;70;;;a_lot_of_difficulty;;;
3793ca78-8ac3-4366-afab-95dcdb4ff90b;female;14;a_lot_of_difficulty;;;;;
abcf430c-bd3e-46e3-9700-cc17edd40e9f;female;11;some_difficulty;;;;;
fbf13010-af58-4a63-99bc-3b7b2492f8c9;male;60;;a_lot_of_difficulty;;;;
5b9ab6b1-bd17-43e4-9ff3-b032d90dc501;male;69;some_difficulty;no_difficulty;;;;
d44435d5-33be-41c8-a59f-eb5af2995140;female;58;a_lot_of_difficulty;;;;;
e8b02624-e6d9-4aa6-b260-08ac3c30443a;female;65;some_difficulty;;;;;
ffd8649d-6a4e-40ef-92eb-752e51747c9e;male;26;some_difficulty;;;;;
7bed2a24-22ec-4958-9130-e50f9a94618d;male;38;;;a_lot_of_difficulty;;;
4cc78cd0-d45a-442e-81da-41b415b5ab28;male;50;;a_lot_of_difficulty;a_lot_of_difficulty;;;
4cc78cd0-d45a-442e-81da-41b415b5ab28;male;50;;a_lot_of_difficulty;a_lot_of_difficulty;;;
add44823-43ba-4af3-aebc-83508abde0b5;male;35;cannot_do_at_all;;;;;
add44823-43ba-4af3-aebc-83508abde0b5;female;33;cannot_do_at_all;;;;;
add44823-43ba-4af3-aebc-83508abde0b5;female;45;cannot_do_at_all;;;;;
4b4c4473-fce0-41f3-bc81-145a2f8a7cdb;male;12;some_difficulty;;;;;
6b9793fd-296d-49ee-b706-5cda22cacf25;female;68;some_difficulty;;;;;
a56e9e74-f8f2-459b-b8b8-2f737d73726b;male;8;;;some_difficulty;some_difficulty;a_lot_of_difficulty;a_lot_of_difficulty
f3acfb36-363e-4b01-8989-8e36d274fbe2;female;83;;;some_difficulty;;;
f3acfb36-363e-4b01-8989-8e36d274fbe2;female;47;;;some_difficulty;;;
9f670c62-c62e-47c1-b813-3484cabf7f75;female;59;;some_difficulty;a_lot_of_difficulty;;;
0aaefc53-e412-4fec-8002-45708dce9ce6;male;62;a_lot_of_difficulty;no_difficulty;no_difficulty;no_difficulty;no_difficulty;no_difficulty
0cf96033-bc6c-4c8f-b064-8b7fcb4c2aec;female;81;;;some_difficulty;;;
e52925f7-99ff-4596-9a46-af2f5ddfeda9;male;50;a_lot_of_difficulty;;;;;
e52925f7-99ff-4596-9a46-af2f5ddfeda9;female;46;a_lot_of_difficulty;;;;;
e52925f7-99ff-4596-9a46-af2f5ddfeda9;male;28;some_difficulty;;;;;
e52925f7-99ff-4596-9a46-af2f5ddfeda9;female;19;a_lot_of_difficulty;;;;;
e52925f7-99ff-4596-9a46-af2f5ddfeda9;male;15;some_difficulty;;;;;
531f16e9-2112-4292-8262-d0d7c3d234dc;male;33;no_difficulty;;;a_lot_of_difficulty;;some_difficulty
531f16e9-2112-4292-8262-d0d7c3d234dc;female;63;a_lot_of_difficulty;;;no_difficulty;;no_difficulty
89578761-7b5d-4a70-b80c-16d86d89fc86;male;18;some_difficulty;;;;;
6d9d5412-5523-43b1-986a-afe1cb6e7bc2;male;78;cannot_do_at_all;;a_lot_of_difficulty;;a_lot_of_difficulty;
