Indicator.Group.Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
AAP,% of HH who received food and reported quality_not_good,% of HH who received food and reported quality_not_good,,,categorical,ln17_ii,numerical,direct_reporting
AAP,% of HH who received food and reported quantity_not_enough,% of HH who received food and reported quantity_not_enough,,,categorical,ln17_iii,numerical,direct_reporting
AAP,% of HH who received health_services and reported delays_in_delivery,% of HH who received health_services and reported delays_in_delivery,,,categorical,ln18_i,numerical,direct_reporting
AAP,% of HH who received health_services and reported quality_not_good,% of HH who received health_services and reported quality_not_good,,,categorical,ln18_ii,numerical,direct_reporting
AAP,% of HH who received health_services and reported quantity_not_enough,% of HH who received health_services and reported quantity_not_enough,,,categorical,ln18_iii,numerical,direct_reporting
AAP,% of HH who received other_non_food_items and reported delays_in_delivery ,% of HH who received other_non_food_items and reported delays_in_delivery ,,,categorical,ln19_i,numerical,direct_reporting
AAP,% of HH who received other_non_food_items and reported quality_not_good,% of HH who received other_non_food_items and reported quality_not_good,,,categorical,ln19_ii,numerical,direct_reporting
AAP,% of HH who received other_non_food_items and reported quantity_not_enough,% of HH who received other_non_food_items and reported quantity_not_enough,,,categorical,ln19_iii,numerical,direct_reporting
Health,% hh with at least one individual with a communicating disability  ,% hh with at least one individual with a communicating disability  ,,,categorical,communicating,numerical,direct_reporting
Health,% hh with at least one individual with a hearing disability  ,% hh with at least one individual with a hearing disability  ,,,categorical,hearing,numerical,direct_reporting
Health,% hh with at least one individual with a remembering disability,% hh with at least one individual with a remembering disability,,,categorical,remembering,numerical,direct_reporting
Health,% hh with at least one individual with a washing disability,% hh with at least one individual with a washing disability,,,categorical,washing,numerical,direct_reporting
Health,% hh with at least one individual with a seeing disability,% hh with at least one individual with a seeing disability,,,categorical,seeing,numerical,direct_reporting
Health,% hh with at least one individual with a walking disability,% hh with at least one individual with a walking disability,,,categorical,walking,numerical,direct_reporting
Livelihoods,"% of households reporting that their typical monthly income has changed since the recent escalation, by DEGREE OF CHANGE",No change,,,categorical,ln20_i,numerical,direct_reporting
Livelihoods,"% of households reporting that their typical monthly income has changed since the recent escalation, by DEGREE OF CHANGE",Decreased a little,,,categorical,ln20_ii,numerical,direct_reporting
Livelihoods,"% of households reporting that their typical monthly income has changed since the recent escalation, by DEGREE OF CHANGE",Decreased a lot,,,categorical,ln20_iii,numerical,direct_reporting
Livelihoods,"% of households reporting that their typical monthly income has changed since the recent escalation, by DEGREE OF CHANGE",Increased a little,,,categorical,ln20_iv,numerical,direct_reporting
Livelihoods,"% of households reporting that their typical monthly income has changed since the recent escalation, by DEGREE OF CHANGE",Increased a lot,,,categorical,ln20_v,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",None,,,categorical,ln21_i,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Temporary loss of income,,,categorical,ln21_ii,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Permanent loss of income,,,categorical,ln21_iii,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT","Inability of previous earners to work (e.g. injury, death)",,,categorical,ln21_iv,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Depleted savings,,,categorical,ln21_v,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Increase/taking on debt,,,categorical,ln21_vi,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT","Destruction of agricultural assets (e.g. herds, bees, aqua farms)",,,categorical,ln21_vii,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT","Destruction of non-agricultural office assets (e.g. workspace, shops)",,,categorical,ln21_viii,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Insecurity preventing livelihood activities;,,,categorical,ln21_ix,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Cannot physically access workplaces,,,categorical,ln21_x,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Increase recourse to negative coping mechanism due to lack of livelihoods opportunities;,,,categorical,ln21_xi,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",Previous wage earners are needed at home (e.g. care-giving),,,categorical,ln21_xii,numerical,direct_reporting
Livelihoods,"% of households reporting an impact of the recent conflict on their livelihood assets or resources, by TYPE OF IMPACT",No livelihood opportunities;,,,categorical,ln21_xiii,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Did not apply,,,categorical,ln22_i,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER","Residing in an inaccessible area (e.g. remote, insecure)",,,categorical,ln22_ii,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Residing in an area where providers do not operate,,,categorical,ln22_iii,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER","Was deemed ineligible (e.g. working family members, high income, insufficient damage to structure)",,,categorical,ln22_iv,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Lack of resources by providers,,,categorical,ln22_v,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Lack of documentation,,,categorical,ln22_vi,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Did not understand application procedures,,,categorical,ln22_vii,numerical,direct_reporting
AAP,"% of households reporting access barriers to aid as a result of the recent conflict in Gaza, by TYPE OF BARRIER",Did not know how to apply,,,categorical,ln22_viii,numerical,direct_reporting
